編號,韓文,羅馬拼音,中文,英文
2126,인터넷,inteonet,網際網路、網路,Internet
2127,적용하다,jeogyonghada,應用、適用,To apply (sth to sth else)
2128,전통적,jeontongjeok,傳統的,Traditional
2129,참가하다,chamgahada,參加、參賽,"To take part in, join"
2130,치마,chima,裙子,A skirt
2131,친척,chincheok,親戚,Relatives
2132,특정하다,teukjeonghada,特定、指明,Specify
2133,호텔,hotel,飯店、旅館,Hotel
2134,경계,gyeonggye,警戒、邊界、分界,Boundary
2135,공식,gongsik,公式、正式、常規,A formula or formality
2136,그다지,geudaji,並不怎麼、不大,So much or to that extent
2137,긴장,ginjang,緊張,Tension
2138,깎다,kkakda,削（皮）、砍價、剪,Cut or trim
2139,다리,dari,橋、橋樑,Bridge
2140,머물다,meomulda,停留、留宿,Stay overnight
2141,명예,myeongye,名譽、榮譽,Honor
2142,뱃사람,baetsaram,水手、船員、漁民,"A seaman, sailor"
2143,부처,bucheo,佛祖、佛陀 / 夫婦,Buddha
2144,숙이다,sugida,低下、垂下（頭）,Lower one’s head
2145,아가씨,agassi,小姐、姑娘,"Mis, young lady"
2146,온도,ondo,溫度,Temperature
2147,이마,ima,前額、額頭,Forehead
2148,절대로,jeoldaero,絕對、萬萬（加否定）,Absolutely
2149,지붕,jibung,屋頂,A roof
2150,지원하다,jiwonhada,應徵、報名、志願,"To desire, aspire, hence to apply for [e.g. a job] or volunteer for sth"
2151,진짜,jinjja,真的、真實,Real
2152,짙다,jitda,濃、深、厚,"Be dark, dense"
2153,창밖,changbak,窗外,Outside the window
2154,청소,cheongso,打掃、清潔,Cleaning
2155,침묵,chimmuk,沉默,Silence
2156,텍스트,tekseuteu,文本、文章,Text
2157,표면,pyomyeon,表面,"Front, surface, exterior"
2158,햇살,haetsal,陽光、日光,The rays of the sun
2159,객관적,gaekgwanjeok,客觀的,Objective
2160,걱정하다,geokjeonghada,擔心、操心,To worry or be anxious
2161,경제적,gyeongjejeok,經濟的、划算的,Economical
2162,구름,gureum,雲、白雲,A cloud or the clouds
2163,구석,guseok,角落、偏僻處,1) a corner 2) an out of the way place
2164,끄다,kkeuda,關閉（電器）、熄滅（火）,Put out or extinguish
2165,담당하다,damdanghada,擔任、負責,Take charge of
2166,벗기다,beotgida,脫去、剝掉,"Unclothe, undress"
2167,부대,budae,部隊、軍隊,"A detachment, squad"
2168,불빛,bulbit,燈光、火光,Fire light
2169,서클,seokeul,社團、俱樂部,Circle
2170,시청자,sicheongja,觀眾、電視觀眾,TV audience member
2171,실체,silche,實體、真相,"substance,essence"
2172,엄격하다,eomgyeokhada,嚴格、嚴厲,"To be strict, serious"
2173,완벽하다,wanbyeokhada,完美、完美無缺,Perfect
2174,완전하다,wanjeonhada,完整、健全、毫無瑕疵,To be perfect and faultless
2175,절,jeol,寺院、寺廟,A Buddhist temple
2176,종업원,jongeobwon,服務生、員工,waiter/waitress
2177,증가,jeungga,增加、增長,"An increase,augmentation"
2178,출연,churyeon,出演、登台,Going on stage
2179,학기,hakgi,學期,An educational term
2180,한동안,handongan,一段時間、好一陣子,For quite a while
2181,후기,hugi,後期、下半期,The latter term/period
2182,계절,gyejeol,季節,Season
2183,만지다,manjida,觸摸、摸,To touch
2184,목사,moksa,牧師,A pastor
2185,바늘,baneul,針、指針,"A needle, pin"
2186,버티다,beotida,堅持、撐住、頂住,"Endure, tolerate"
2187,부,bu,部、部門、部數,"A department, a part"
2188,분포하다,bunpohada,分布,Distribution
2189,비중,bijung,比重,Specific gravity
2190,수입,suip,收入、收益,Income
2191,아이디어,aidieo,想法、點子、構想,Idea
2192,양쪽,yangjjok,雙方、兩側、兩邊,Both sides
2193,예컨대,yekeondae,例如、譬如,"For example, such as"
2194,운동장,undongjang,運動場、操場,"Stadium, playground"
2195,전개,jeongae,展開、發展,"unfolding,development,expansion"
2196,접촉,jeopchok,接觸,"contact,touch"
2197,짐,jim,行李、負擔,Luggage ; what is on a person
2198,풀,pul,草、雜草、草坪,Grass (cut the ~)
2199,해마다,haemada,年年、每年,"Every year, each year"
2200,후배,hubae,後輩、學弟妹,one’s junior
2201,휴가,hyuga,休假、假期,"holidays,vacation"
2202,경기,gyeonggi,景氣、經濟狀況,The business market’s state
2203,계곡,gyegok,溪谷、峽谷,A valley or gorge
2204,국회의원,gukhoeuiwon,國會議員,A member of the national Assembly
2205,다투다,datuda,爭吵、爭奪,Quarrel
2206,도저히,dojeohi,到底、無論如何也（加否定）,(도저히 + negative (지 않다/없다))Absolutely impossible ; by all means
2207,뻗다,ppeotda,伸展、延伸、延伸到,"Stretch out, extend beyond"
2208,생활하다,saenghwalhada,生活、過日子,"To live, make a living"
2209,솔직하다,soljikhada,率直、坦誠,"frankness,candidness"
2210,안타깝다,antakkapda,遺憾、痛心、可惜,To be heart-breaking
2211,앞장서다,apjangseoda,帶頭、領頭、走在前面,To be in the lead/ at the head
2212,요청하다,yocheonghada,請求、要求,"To ask for, to request"
2213,이르다,ireuda,早、過早、尚早,"Be early, premature"
2214,일치하다,ilchihada,一致、吻合,"Agree with, to be in accord with"
2215,젓다,jeotda,搖（頭）、擺（手）/ 攪拌,"To make a sign,gesticulate"
2216,정치권,jeongchigwon,政治界、政界,Political rights
2217,처녀,cheonyeo,處女、未婚少女,"A virgin, a young maiden"
2218,축제,chukje,節慶、慶典,a festival
2219,터뜨리다,teotteurida,爆發、引爆、使破裂,"Break, burst,explode"
2220,학습,hakseup,學習,"Learning, education"
2221,개발되다,gaebaldoeda,被開發、被研發（被動）,To be developed or exploited
2222,높이,nopi,高高地（副詞）,"High, aloft (adverb)"
2223,당연히,dangyeonhi,當然、理所當然地,Of course
2224,대비하다,daebihada,預備、防備、做好準備,"Provide for, prepare onself for"
2225,마구,magu,胡亂、隨便、接連不斷,"continuously, without pause"
2226,만남,mannam,相遇、會面,A meeting
2227,미디어,midieo,媒體、大眾傳媒,Media
2228,복도,bokdo,走廊、迴廊,A corridor
2229,수상,susang,總理、首相 / 獲獎,The prime minister
2230,쓰러지다,sseureojida,倒下、暈倒、癱倒,"Fall, collapse"
2231,영상,yeongsang,影像、畫面 / 零上（氣溫）,"An image [picture], reflection (moving pictures, movies)"
2232,영혼,yeonghon,靈魂,"A soul, a spirit"
2233,운전사,unjeonsa,司機、駕駛員,The driver (of a taxi)
2234,자랑스럽다,jarangseureopda,感到自豪、驕傲,To be proud
2235,잠깐,jamkkan,稍微、片刻、一會兒,For a little while
2236,적당하다,jeokdanghada,適當、合適,To be appropriate
2237,적용되다,jeogyongdoeda,被應用、被適用（被動）,To be applied
2238,주,ju,週、星期,One week
2239,지속적,jisokjeok,持續的,Continuous
2240,진행하다,jinhaenghada,進行、推進,"Advance, proceed"
2241,차별,chabyeol,差別、歧視,"distinction,differentiation"
2242,곳곳,gotgot,到處、處處,Everywhere
2243,구분,gubun,區分、劃分,A division or section
2244,금지,geumji,禁止,Forbidden or prohibitted
2245,내지,naeji,乃至、或者,From A to B
2246,달려오다,dalryeooda,跑來、奔來,Come running
2247,분노,bunno,憤怒、狂怒,"rage,anger"
2248,비교,bigyo,比較,A comparison
2249,소위,sowi,所謂,What is called for
2250,스치다,seuchida,擦過、掠過,Graze past
2251,역사적,yeoksajeok,歷史性的、歷史的,Historical
2252,열차,yeolcha,列車、火車,Train
2253,요즈음,yojeueum,最近、近來,"Recently, nowadays"
2254,유난히,yunanhi,格外、格外特別、異常,"uncommon,exceptional"
2255,의무,uimu,義務,"A duty, an obligation"
2256,잃어버리다,ileobeorida,遺失、丟失,To lose
2257,잠깐,jamkkan,稍等、片刻、一會兒,For a little while
2258,잠들다,jamdeulda,入睡、睡著,Fall asleep
2259,정식,jeongsik,正式,"Formality, due form"
2260,조용하다,joyonghada,安靜、平靜,"To be quiet,still"
2261,즉시,jeuksi,即刻、立刻,"At once,immediately"
2262,최선,choeseon,盡力、最好、最佳辦法,"The best, one’s best"
2263,탑,tap,塔、佛塔,A tower
2264,한복,hanbok,韓服,Korean traditional clothing
2265,활동하다,hwaldonghada,活動、過活躍的生活,"To be active, lead an active life"
2266,건축,geonchuk,建築,Construction or building or erection
2267,귀엽다,gwiyeopda,可愛,To be cute
2268,답답하다,dapdaphada,悶悶不樂、憋悶、焦急,Feel anxious
2269,당황하다,danghwanghada,慌張、不知所措,Be confused
2270,말,mal,馬、駿馬,Horse
2271,밀가루,milgaru,麵粉,Flour
2272,바깥,bakkat,外面、外部,Outside
2273,바지,baji,褲子,Pants
2274,벌리다,beolrida,張開、張大,"Open, wide"
2275,보고서,bogoseo,報告書,Report
2276,보관하다,bogwanhada,保管、存放,Keep in one’s custody
2277,부딪치다,buditchida,碰撞、撞上,"Collide with, bump against"
2278,빨래,ppalrae,洗衣、洗滌物,"washing,laundry"
2279,상하다,sanghada,受傷、受損、變質,"damage,injure"
2280,설치,seolchi,設置、設立、安裝,"establisment,institution"
2281,식용유,sigyongyu,食用油,Food oil
2282,싫어하다,sileohada,討厭、不喜歡,"To dislike, be reluctant (to do)"
2283,업종,eopjong,行業、業種,Types of industry
2284,연출,yeonchul,導演、策劃、演出,"Production, presentation"
2285,테이블,teibeul,桌子、餐桌,Table
2286,트이다,teuida,敞開、開朗、通暢,"Get cleared out, open up"
2287,피곤하다,pigonhada,疲勞、疲憊,"To be very tired, exhausted"
2288,한국어,hangugeo,韓國語、韓語,Korean (language)
2289,한자,hanja,漢字,"Korean character, derived from chinese"
2290,겁,geop,害怕、恐懼,Fear or fright
2291,관리,gwanri,官吏、官員,A government official
2292,국제화,gukjehwa,國際化,Internationalization
2293,근육,geunyuk,肌肉,Muscles
2294,깔리다,kkalrida,鋪著、被鋪上（被動）,To be spread or overspread
2295,사전,sajeon,事先、預先,"beforehand,in advance"
2296,산소,sanso,氧氣 / 墳墓,Oxygen
2297,석유,seogyu,石油,Petroleum
2298,소리치다,sorichida,大聲喊叫、高呼,"To shout, yell"
2299,시,si,市、城市 / 詩,City
2300,신선하다,sinseonhada,新鮮,Fresh
2301,안경,angyeong,眼鏡,Glasses
2302,약속하다,yaksokhada,約定、承諾,To make a promise
2303,연합,yeonhap,聯合、同盟,"Combination, federacy, union"
2304,인격,ingyeok,人格,"Personality, character"
2305,장,jang,章（書之章節）,A chapter in a book
2306,적,jeok,敵人,The enemy
2307,조심하다,josimhada,小心、提防,To be careful
2308,질,jil,品質、質量、性質,"Quality, character"
2309,찌르다,jjireuda,刺、戳、扎,"stab,thrust"
2310,책임자,chaegimja,負責人,Person responsible
2311,총,chong,總計、全部（冠形詞）,"all,entire,whole"
2312,취미,chwimi,興趣、愛好,Hobby
2313,표,pyo,標記、記號、標誌,"A marker, indication"
2314,품목,pummok,品項、項目,"The name of an article, a list of articles"
2315,확대되다,hwakdaedoeda,被擴大、放大（被動）,To be magnified
2316,거실,geosil,客廳,Living room
2317,논,non,水田、稻田,A rice field
2318,덥다,deopda,熱、炎熱,"Be hot, heated"
2319,바보,babo,傻瓜、笨蛋,Ignorant
2320,별,byeol,依...分類（~별）,Classified by
2321,보람,boram,意義、價值、成效,"worth,result"
2322,부작용,bujagyong,副作用,"reaction,side effect"
2323,비난,binan,譴責、責難,"Criticism, reproach"
2324,신고,singo,申報、報案,"A statement,declaration"
2325,야구,yagu,棒球,Baseball
2326,어떡하다,eotteokhada,怎麼辦、如何處置,"To take some measures, to manage somehow"
2327,예상,yesang,預想、預測,"Expectation, anticipation; forecast, preconception, prenotion"
2328,위협,wihyeop,威脅、恐嚇,"Menace, threat, intimidation"
2329,이,i,牙齒、齒,A tooth
2330,이상,isang,理想、目標,"An ideal, a goal"
2331,잠기다,jamgida,淹沒、沉浸 / 鎖上,Sink in water
2332,주고받다,jugobatda,相互給予、交流,"Give and receive, exchange"
2333,주먹,jumeok,拳頭,Fist
2334,지지,jiji,支持,"support,backing"
2335,털다,teolda,抖落、拂去,"To shake off, brush up"
2336,경고,gyeonggo,警告,Warning
2337,공개하다,gonggaehada,公開,Open to the public
2338,과목,gwamok,科目、學科,A subject or a lesson
2339,구경,gugyeong,參觀、觀賞、看熱鬧,An enjoyable sight or spectacle
2340,그분,geubun,那位（敬稱）,That person (respectful)
2341,근무,geunmu,勤務、工作,Duty or service or work
2342,논쟁,nonjaeng,爭論、爭辯,"Controversy, argument"
2343,달아나다,daranada,逃跑、逃脫,"Escape, flee"
2344,묶다,mukda,綑綁、綁,"bind,tie"
2345,성명,seongmyeong,聲明 / 姓名,"A declaration,statement"
2346,소스,soseu,醬汁、沙司,Sauce
2347,수십,susip,數十,Tens of sth
2348,신다,sinda,穿（鞋/襪）,"Put on, wear"
2349,우리말,urimal,我們的母語、韓語,Korean (language)
2350,유교,yugyo,儒教、儒家,Confucianism
2351,이불,ibul,棉被、被子,"Bedding, bed clothes"
2352,이성,iseong,理性,"Reason, reasoning"
2353,일상,ilsang,日常、平時,"Everyday, usual, ordinary"
2354,자동,jadong,自動,"self-acting, self-moving, automatic"
2355,장래,jangrae,將來、前途,The future
2356,전개되다,jeongaedoeda,展開、展開進展（被動）,"To be unfolded,spread out"
2357,죄송하다,joesonghada,抱歉、慚愧,"regret,be sorry for"
2358,중요성,jungyoseong,重要性,"importance,gravity"
2359,크다,keuda,大、長大,"To be big, large"
2360,탤런트,taelreonteu,電視演員、藝能人才,Talent
2361,특별히,teukbyeolhi,特別地、格外,Especially
2362,품질,pumjil,品質、質量,The quality of the article ( but not the article itself)
2363,회견,hoegyeon,會見、記者會,"An interview, a meeting"
2364,훔치다,humchida,偷竊、偷,To steal
2365,흔적,heunjeok,痕跡、蹤跡,"traces,signs,evidences"
2366,고전,gojeon,古典,A classic in literature
2367,과학적,gwahakjeok,科學的,Scientifically
2368,구분하다,gubunhada,區分、劃分,To divide or to classify
2369,그럼,geureom,那麼 / 當然（感嘆詞）,Interjection: “yeh or that’s right”
2370,뇌,noe,大腦、腦,Brains
2371,봉투,bongtu,信封、紙袋,Envelope
2372,분명,bunmyeong,明顯、清楚,Obviousness
2373,사설,saseol,社論、社評,An editorial
2374,승리,seungri,勝利,A victory
2375,좌우,jwau,左右,Left and right
2376,주,ju,主人、雇主,"one’s master, ones employer"
2377,지다,jida,落下、下沉（太陽）,Set (the sun)
2378,추억,chueok,回憶,Memory
2379,하여튼,hayeoteun,無論如何、總之,Anyways
2380,함부로,hamburo,隨便、隨意、胡亂,"Indiscriminately, at random"
2381,향기,hyanggi,香氣、芬芳,"fragrance,aroma,perfume"
2382,현지,hyeonji,當地、現場,"The actual place, the very spot"
2383,가늘다,ganeulda,細、苗條,Thin or fine or slender
2384,개인적,gaeinjeok,個人的、私人的,Private or personal
2385,겉,geot,表面、外表,The outer surface
2386,굽히다,guphida,彎曲、屈服,Bend or stoop
2387,근무하다,geunmuhada,工作、任職,Work or labor
2388,깜짝,kkamjjak,猛然、吃驚地,With a surprise
2389,넓히다,neophida,拓寬、擴大,Widen
2390,대,dae,對、對比 / 一對,"1) Versus 2)a pair, counterpart"
2391,매년,maenyeon,每年,Every year
2392,발생,balsaeng,發生、產生,1) Birth 2) development
2393,셋,set,三,Three
2394,소주,soju,燒酒,Korean sake
2395,손바닥,sonbadak,手掌,The palm
2396,승용차,seungyongcha,轎車、客車,A passenger car
2397,어색하다,eosaekhada,尷尬、不自在、生硬,"To be awkward, shy with words, speechless"
2398,얹다,eonda,擱在...上、放上,"Put on, place, lay, set"
2399,의학,uihak,醫學,Medical science
2400,장점,jangjeom,優點、長處,"A merit,strong point"
2401,적당히,jeokdanghi,適當地、恰當地,"suitable,proper"
2402,줍다,jupda,撿起、拾起,"Pick up, gather"
2403,진출,jinchul,進軍、走向、進出,An advance
2404,창조,changjo,創造,Creation
2405,킬로그램,kilrogeuraem,公斤、千克,Kilogram
2406,평범하다,pyeongbeomhada,平凡、普通,"Plain, average"
2407,프로,peuro,節目 / 專業,Program
2408,홍보,hongbo,宣傳、公關,"Public information, public relations"
2409,확인,hwagin,確認、核實,"A check,confirmation"
2410,가루,garu,粉末、粉,Powder or flour; meal
2411,건지다,geonjida,撈起 / 拯救、挽救,Take or bring out of the water or 2) rescue a person from danger
2412,깨지다,kkaejida,碎裂、打碎 / 破裂,To break
2413,내다보다,naedaboda,遠望、展望、預測,Look out for
2414,대량,daeryang,大量,A large quantity
2415,마땅하다,mattanghada,理當、應當、合適,"Be right, approppriate"
2416,바로잡다,barojapda,糾正、矯正、端正,Straighten
2417,박히다,bakhida,被釘入、嵌入、深印,Be nailed in
2418,방금,banggeum,剛才、方才,Just now
2419,생선,saengseon,鮮魚、生魚,Raw fish
2420,슬픔,seulpeum,悲傷、悲痛,Sorrow
2421,아무렇지 않다,amureochi anta,若無其事、毫不介意,"To be indifferent, casually"
2422,이용되다,iyongdoeda,被利用、被使用（被動）,To be used
2423,이튿날,iteunnal,翌日、次日、第二天,The second day after
2424,임시,imsi,臨時、特別,"Temporary, special"
2425,제거하다,jegeohada,消除、除去、清除,"exclusion,removal"
2426,줄다,julda,減少、縮小,Diminish
2427,지구,jigu,地區、地帶,"A district,region"
2428,지우다,jiuda,擦掉、抹去、消除,To erase
2429,참기름,chamgireum,麻油、芝麻油,Sesame oil
2430,통,tong,桶、木桶 / 封（信件量詞）,"A tub, a cask"
2431,특수,teuksu,特殊、特別,"characteristic,distinct,unique"
2432,팬,paen,平底鍋 / 粉絲,Pan
2433,합치다,hapchida,合併、結合,"combine,unite"
2434,호기심,hogisim,好奇心,Curiousity
2435,골목,golmok,小巷、胡同,A side street or alley
2436,기운,giun,精神、氣力、氣色,Strength or might (the strength you feel you have on that particular day)
2437,기획,gihoek,企劃、策劃,Planning
2438,대충,daechung,大致、大致上、草率,"Almost, nearly, about"
2439,맞서다,matseoda,對峙、抗衡、面對,Stand opposite
2440,모자라다,mojarada,不足、不夠、欠缺,To be insufficient
2441,박다,bakda,釘入、鑲嵌、釘,"Drive,hammer in"
2442,본성,bonseong,本性、天性,Original nature or character
2443,상상하다,sangsanghada,想像,Imagine
2444,생산력,saengsanryeok,生產力,Productive capacity
2445,안전하다,anjeonhada,安全,To be safe
2446,유학,yuhak,留學,Studying abroad
2447,이르다,ireuda,告訴、告知、告發,"Inform, report, tell"
2448,장비,jangbi,裝備、設備,"equipment,fittings"
2449,정치인,jeongchiin,政治家、政界人士,Politician
2450,정치적,jeongchijeok,政治的,Political
2451,졸업,joreop,畢業,Graduation
2452,처벌,cheobeol,處罰、懲處,"punishment,penalty"
2453,카페,kape,咖啡館、咖啡廳,Cafe (place to drink coffee)
2454,콤플렉스,kompeulrekseu,自卑感、情結,Complex
2455,검토,geomto,檢討、審查、研議,An examination or investigation or study
2456,그다음,geudaeum,其次、接下來、隨後,Next
2457,기법,gibeop,技法、技巧,Techniques
2458,끓다,kkeulta,沸騰、煮開,Boil or simmer
2459,날아오다,naraoda,飛來,Come flying
2460,농담,nongdam,玩笑,A joke
2461,닭,dak,雞,Chicken
2462,담임,damim,導師、班主任、擔當,"Charge, duty"
2463,도중,dojung,途中、中途,On the way
2464,맥주,maekju,啤酒,Beer
2465,모래,morae,沙子,Sand
2466,살아남다,saranamda,生存、活下來,Survive
2467,살인,sarin,殺人、謀殺,Murder
2468,성질,seongjil,性質、脾氣、性格,"naure,disposition"
2469,신호,sinho,信號、暗號,"A signal,signaling"
2470,아버님,abeonim,父親、令尊（敬稱）,Father (respectful word)
2471,의심하다,uisimhada,懷疑,"To be suspicious, to doubt"
2472,인,in,人、名（人數單位）,A person
2473,잇따르다,itttareuda,接連、接二連三,Follow one after another
2474,자랑하다,jaranghada,炫耀、誇耀、自豪,To be proud
2475,자판,japan,鍵盤,Keyboard
2476,적용,jeogyong,適用、應用,Application
2477,전기,jeongi,前期、前半期 / 傳記,the former period/term
2478,중반,jungban,中期、中葉、中盤,"At the middle stage (of a game or contest, or otherwise)"
2479,지시하다,jisihada,指示、命令,"To direct, instruct"
2480,출발,chulbal,出發,"To start (a journey,trip)"
2481,허용하다,heoyonghada,允許、准許、容許,"To permit, approve, grant, allow"
2482,가르침,gareuchim,教導、教誨、指引,Teaching or an instruction
2483,각국,gakguk,各國,Each country
2484,교과서,gyogwaseo,教科書、課本,Textbook
2485,그려지다,geuryeojida,被描繪、浮現（被動）,Draw
2486,꾸준히,kkujunhi,堅持不懈地、持續地,"Untiringly, ceaselessly"
2487,년도,nyeondo,年度,Year
2488,다수,dasu,多數、眾多,A great number
2489,덕분,deokbun,多虧、托福,Indebtedness
2490,무리,muri,勉強、過度、不合情理,Be unreasonable
