編號,韓文,羅馬拼音,中文,英文,漢語拼音,IPA音標,類別,詞性
30,암살자,amsalja,暗殺者,assassin,ànshāzhě,am.sal.ʨ͈a.,Hanja,名詞
31,암시,amsi,暗示,"A hint, suggestion",ànshì,am.ɕʰi.,Hanja,名詞
32,암송,amsong,暗誦,Recite secretly,ànsòng,am.soŋ.,Hanja,名詞
33,암산,amsan,暗算,Conspiracy,ànsuàn,am.san.,Hanja,名詞
34,안심,ansim,安心,peace of mind,ānxīn,an.ɕʰim.,Hanja,名詞
35,안식향,ansikhyang,安息香,benzoin,ānxíxiāng,an.ɕʰi.kʰjaŋ.,Hanja,名詞
36,암영,amyeong,暗影,Shadow,ànyǐng,am.jʌŋ.,Hanja,名詞
37,오지,oji,奧地,Austria,àodì,o.ʥi.,Hanja,名詞
38,오만,oman,傲慢,Arrogant,àomàn,o.man.,Hanja,名詞
39,요면,yomyeon,凹面,Concave,āomiàn,jo.mjʌn.,Hanja,名詞
40,아편,apyeon,阿片,Opium,āpiàn,a.pʰjʌn.,Hanja,名詞
41,팔변형,palbyeonhyeong,八邊形,octagon,bābiānxíng,pʰal.p͈jʌn.hjʌŋ.,Hanja,名詞
42,발췌,balchwe,拔萃,Outstanding,bácuì,pal.ʨʰu̯e.,Hanja,名詞
43,팔방미인,palbangmiin,八方美人,beauties from all directions,bāfāngměirén,pʰal.p͈aŋ.mi.in.,Hanja,名詞
44,백합,baekhap,百合,Lily,bǎihé,pɛ.kʰap̚.,Hanja,名詞
45,백화점,baekhwajeom,百貨店,Department store,bǎihuòdiàn,pɛ.kʰu̯a.ʥʌm.,Hanja,名詞
46,백제,baekje,百濟,Historical Korean government,bǎijì,pɛk̚.ʨ͈e.,Hanja,專有名詞
47,백조,baekjo,白鳥,white bird,báiniǎo,pɛk̚.ʨ͈o.,Hanja,名詞
48,백포도주,baekpodoju,白葡萄酒,white wine,báipútáojiǔ,pɛk̚.pʰo.do.ʥu.,Hanja,名詞
49,백열,baekyeol,白熱,white hot,báirè,pɛɡ.jʌl.,Hanja,名詞
50,백인,baekin,白人,Caucasian,báirén,pɛɡ.in.,Hanja,名詞
51,백일홍,baekilhong,百日紅,Hundred Days Red,bǎirìhóng,pɛɡ.iɾ.ɦoŋ.,Hanja,名詞
52,백일해,baekilhae,百日咳,whooping cough,bǎirìké,pɛɡ.iɾ.ɦɛ.,Hanja,名詞
53,백색,baeksaek,白色,White,báisè,pɛk̚.s͈ɛk̚.,Hanja,名詞
54,백사,baeksa,百四,one hundred and four,bǎisì,pɛk̚.s͈a.,Hanja,名詞
55,백철광,baekcheolgwang,白鐵鑛,marcasite,báitiěkuàng,pɛk̚.ʨʰʌl.k͈u̯aŋ.,Hanja,名詞
56,백두산,baekdusan,白頭山,Korean mountain,báitóushān,pɛk̚.t͈u.sʰan.,Hanja,專有名詞
57,백만,baekman,百萬,millions,bǎiwàn,pɛŋ.man.,Hanja,名詞
58,백혈구,baekhyeolgu,白血球,white blood cells,báixiěqiú,pɛ.kʰjʌl.k͈u.,Hanja,名詞
59,패혈증,paehyeoljeung,敗血症,sepsis,bàixiězhèng,pʰɛ.hjʌl.ʨ͈ɯŋ.,Hanja,名詞
60,백성,baekseong,百姓,The common people,bǎixìng,pɛk̚.s͈ʌŋ.,Hanja,名詞
61,백선,baekseon,白癬,white tinea,báixuǎn,pɛk̚.s͈ʌn.,Hanja,名詞
62,백야,baekya,白夜,white night,báiyè,pɛɡ.ja.,Hanja,名詞
63,백운석,baekunseok,白雲石,dolomite,báiyúnshí,pɛɡ.un.sʌk̚.,Hanja,名詞
64,백지,baekji,白紙,blank paper,báizhǐ,pɛk̚.ʨ͈i.,Hanja,名詞
65,반도,bando,半島,peninsula,bàndǎo,pan.do.,Hanja,名詞
66,반점,banjeom,斑點,spots,bāndiǎn,pan.ʥʌm.,Hanja,名詞
67,방관자,banggwanja,傍觀者,bystanders,bàngguānzhě,paŋ.ɡu̯an.ʥa.,Hanja,名詞
68,반감,bangam,半減,half reduced,bànjiǎn,paŋ.ɡam.,Hanja,名詞
69,판금,pangeum,板金,sheet metal,bǎnjīn,pʰaŋ.ɡɯm.,Hanja,名詞
70,반경,bangyeong,半徑,radius,bànjìng,paŋ.ɡjʌŋ.,Hanja,名詞
71,반려,banryeo,伴侶,companion,bànlǚ,pal.ljʌ.,Hanja,名詞
72,반구,bangu,半球,hemisphere,bànqiú,paŋ.ɡu.,Hanja,名詞
73,판권,pangwon,版權,Copyright,bǎnquán,pʰaŋ.ɡu̯ʌn.,Hanja,名詞
74,반입,banip,搬入,move in,bānrù,pan.ip̚.,Hanja,名詞
75,반신,bansin,半神,Demigod,bànshén,pan.ɕʰin.,Hanja,名詞
76,판도,pando,版圖,Territory,bǎntú,pʰan.do.,Hanja,名詞
77,반장,banjang,班長,Squad leader,bānzhǎng,pan.ʥaŋ.,Hanja,名詞
78,반지,banji,半指,Ring,bànzhǐ,pan.ʥi.,Hanja,名詞
79,판지,panji,板紙,cardboard,bǎnzhǐ,pʰan.ʥi.,Hanja,名詞
80,반지,banji,班指,Ring,bānzhǐ,pan.ʥi.,Hanja,名詞
81,반주,banju,伴奏,accompaniment,bànzòu,pan.ʥu.,Hanja,名詞
82,보안,boan,保安,Preservation of the public peace,bǎoān,po.an.,Hanja,名詞
83,보수,bosu,報酬,Conservation,bàochóu,po.sʰu.,Hanja,名詞
84,보존,bojon,保存,Preservation,bǎocún,po.ʥon.,Hanja,名詞
85,보도,bodo,報道,"news, report",bàodào,po.do.,Hanja,名詞
86,폭동,pokdong,暴動,riot,bàodòng,pʰok̚.t͈oŋ.,Hanja,名詞
87,폭발,pokbal,爆發,break out,bàofā,pʰok̚.p͈al.,Hanja,名詞
88,폭풍,pokpung,暴風,storm,bàofēng,pʰok̚.pʰuŋ.,Hanja,名詞
89,폭풍우,pokpungu,暴風雨,storm,bàofēngyǔ,pʰok̚.pʰuŋ.u.,Hanja,名詞
90,보복,bobok,報復,revenge,bàofù,po.bok̚.,Hanja,名詞
91,포부,pobu,抱負,ambition,bàofù,pʰo.bu.,Hanja,名詞
92,보고,bogo,報告,"report,information",bàogào,po.ɡo.,Hanja,名詞
93,보고서,bogoseo,報告書,Report,bàogàoshū,po.ɡo.sʰʌ.,Hanja,名詞
94,포괄,pogwal,包括,include,bāoguā,pʰo.ɡu̯al.,Hanja,名詞
95,포괄적,pogwaljeok,包括的,included,bāoguāde·,pʰo.ɡu̯al.ʨ͈ʌk̚.,Hanja,名詞
96,보관,bogwan,保管,"custody,deposit",bǎoguǎn,po.ɡu̯an.,Hanja,名詞
97,포함,poham,包含,"inclusion,comprehension",bāohán,pʰo.ɦam.,Hanja,名詞
98,보호,boho,保護,"protection,shelter",bǎohù,po.ɦo.,Hanja,名詞
99,보호자,bohoja,保護者,protector,bǎohùzhě,po.ɦo.ʥa.,Hanja,名詞
100,포경,pogyeong,包莖,phimosis,bāojīng,pʰo.ɡjʌŋ.,Hanja,名詞
101,폭군,pokgun,暴君,tyrant,bàojūn,pʰok̚.k͈un.,Hanja,名詞
102,보균자,bogyunja,保菌者,Bacteria Keeper,bǎojùnzhě,po.ɡjun.ʥa.,Hanja,名詞
103,보루,boru,堡壘,fortress,bǎolěi,po.ɾu.,Hanja,名詞
104,폭력,pokryeok,暴力,"voilent,brute force",bàolì,pʰoŋ.njʌk̚.,Hanja,名詞
105,보류,boryu,保留,Reserve,bǎoliú,po.ɾju.,Hanja,名詞
106,폭로,pokro,暴露,exposed,bàolù,pʰoŋ.no.,Hanja,名詞
107,포만,poman,飽滿,full,bǎomǎn,pʰo.man.,Hanja,名詞
108,보전,bojeon,保全,"ingegrity,preservation",bǎoquán,po.ʥʌn.,Hanja,名詞
109,포상,posang,褒賞,praise,bāoshǎng,pʰo.sʰaŋ.,Hanja,名詞
110,보석,boseok,保釋,bail,bǎoshì,po.sʰʌk̚.,Hanja,名詞
111,보수,bosu,保守,Conservation,bǎoshǒu,po.sʰu.,Hanja,名詞
112,보수적,bosujeok,保守的,Conservative,bǎoshǒude·,po.sʰu.ʥʌk̚.,Hanja,名詞
113,폭탄,poktan,爆彈,bomb,bàotán,pʰok̚.tʰan.,Hanja,名詞
114,폭도,pokdo,暴徒,thug,bàotú,pʰok̚.t͈o.,Hanja,名詞
115,포위,powi,包圍,surround,bāowéi,pʰo.ɥi.,Hanja,名詞
116,보물,bomul,寶物,treasure,bǎowù,po.mul.,Hanja,名詞
117,보험,boheom,保險,"guarantee,insurance",bǎoxiǎn,po.ɦʌm.,Hanja,名詞
118,보험비,boheombi,保險費,insurance premium,bǎoxiǎnfèi,po.ɦʌm.bi.,Hanja,名詞
119,폭행,pokhaeng,暴行,atrocities,bàoxíng,pʰo.kʰɛŋ.,Hanja,名詞
120,보안경,boangyeong,保眼鏡,Protect glasses,bǎoyǎnjìng,po.aŋ.ɡjʌŋ.,Hanja,名詞
121,폭약,pokyak,爆藥,Explosives,bàoyào,pʰoɡ.jak̚.,Hanja,名詞
122,포옹,poong,抱擁,hug,bàoyǒng,pʰo.oŋ.,Hanja,名詞
123,보유,boyu,保有,keep,bǎoyǒu,po.ju.,Hanja,名詞
124,보육,boyuk,保育,conservation,bǎoyù,po.juk̚.,Hanja,名詞
125,보장,bojang,保障,"guarantee,security",bǎozhàng,po.ʥaŋ.,Hanja,名詞
126,폭정,pokjeong,暴政,tyranny,bàozhèng,pʰok̚.ʨ͈ʌŋ.,Hanja,名詞
127,보증,bojeung,保證,guarantee,bǎozhèng,po.ʥɯŋ.,Hanja,名詞
128,폭죽,pokjuk,爆竹,Firecrackers,bàozhú,pʰok̚.ʨ͈uk̚.,Hanja,名詞
129,포장,pojang,包裝,"packing,wrapping",bāozhuāng,pʰo.ʥaŋ.,Hanja,名詞
130,패기,paegi,霸氣,Domineering,bàqì,pʰɛ.ɡi.,Hanja,名詞
131,팔천,palcheon,八千,eight thousand,bāqiān,pʰal.ʨʰʌn.,Hanja,名詞
132,패권,paegwon,霸權,hegemony,bàquán,pʰɛ.ɡu̯ʌn.,Hanja,名詞
133,팔십,palsip,八十,80,bāshí,pʰal.ɕʰip̚.,Hanja,數詞
134,파악,paak,把握,grasp,bǎwò,pʰa.ak̚.,Hanja,名詞
135,파업,paeop,罷業,strike,bàyè,pʰa.ʌp̚.,Hanja,名詞
136,팔월,palwol,八月,August,bāyuè,pʰaɾ.u̯ʌl.,Hanja,名詞
137,북빙양,bukbingyang,北氷洋,arctic ocean,běibīngyáng,puk̚.p͈iŋ.jaŋ.,Hanja,名詞
138,북부,bukbu,北部,The north part,běibù,puk̚.p͈u.,Hanja,名詞
139,비참,bicham,悲慘,miserable,bēicǎn,pi.ʨʰam.,Hanja,名詞
140,북두칠성,bukduchilseong,北斗七星,Big Dipper,běidǒuqīxīng,puk̚.t͈u.ʨʰil.s͈ʌŋ.,Hanja,名詞
141,북유럽,bukyureop,北Europe,Northern Europe,běiEurope,puɡ.ju.ɾʌp̚.,Hanja,名詞
142,북방,bukbang,北方,north,běifāng,puk̚.p͈aŋ.,Hanja,名詞
143,피고,pigo,被告,defendant,bèigào,pʰi.ɡo.,Hanja,名詞
144,비관,bigwan,悲觀,pessimistic,bēiguān,pi.ɡu̯an.,Hanja,名詞
145,피해,pihae,被害,Damage,bèihài,pʰi.ɦɛ.,Hanja,名詞
146,피해자,pihaeja,被害者,"A sufferer, the injured party",bèihàizhě,pʰi.ɦɛ.ʥa.,Hanja,名詞
147,북한,bukhan,北韓,North korea,běihán,pu.kʰan.,Hanja,專有名詞
148,배후,baehu,背後,behind,bèihòu,pɛ.ɦu.,Hanja,名詞
149,배가,baega,倍加,Double,bèijiā,pɛ.ɡa.,Hanja,名詞
150,피감수,pigamsu,被減數,minuend,bèijiǎnshǔ,pʰi.ɡam.su.,Hanja,名詞
151,배경,baegyeong,背景,Background,bèijǐng,pɛ.ɡjʌŋ.,Hanja,名詞
152,북경,bukgyeong,北京,Beijing,běijīng,puk̚.k͈jʌŋ.,Hanja,名詞
153,비극,bigeuk,悲劇,A tragedy,bēijù,pi.ɡɯk̚.,Hanja,名詞
154,비극적,bigeukjeok,悲劇的,tragic,bēijùde·,pi.ɡɯk̚.ʨ͈ʌk̚.,Hanja,名詞
155,배율,baeyul,倍率,magnification,bèilǜ,pɛ.jul.,Hanja,名詞
156,배면,baemyeon,背面,back,bèimiàn,pɛ.mjʌn.,Hanja,名詞
157,비명,bimyeong,悲鳴,A scream,bēimíng,pi.mjʌŋ.,Hanja,名詞
158,비명,bimyeong,碑銘,A scream,bēimíng,pi.mjʌŋ.,Hanja,名詞
159,피막,pimak,被膜,membrane,bèimó,pʰi.mak̚.,Hanja,名詞
160,배낭,baenang,背囊,rucksack,bèináng,pɛ.naŋ.,Hanja,名詞
161,비품,bipum,備品,Spare parts,bèipǐn,pi.pʰum.,Hanja,名詞
162,비겁,bigeop,卑怯,Cowardly,bēiquè,pi.ɡʌp̚.,Hanja,名詞
163,배수,baesu,倍數,multiple,bèishù,pɛ.sʰu.,Hanja,名詞
164,비문,bimun,碑文,inscription,bēiwén,pi.mun.,Hanja,名詞
165,배신,baesin,背信,Breach of trust,bèixìn,pɛ.ɕʰin.,Hanja,名詞
166,배음,baeeum,倍音,overtone,bèiyīn,pɛ.ɯm.,Hanja,名詞
167,피의자,piuija,被疑者,suspect,bèiyízhě,pʰi.i.ʥa.,Hanja,名詞
168,배영,baeyeong,背泳,Back swimming,bèiyǒng,pɛ.jʌŋ.,Hanja,名詞
169,패총,paechong,貝塚,kaizuka,bèizhǒng,pʰɛ.ʨʰoŋ.,Hanja,名詞
170,피자식물,pijasikmul,被子植物,angiosperms,bèizi·zhíwù,pʰi.ʥa.ɕʰiŋ.mul.,Hanja,名詞
171,본부,bonbu,本部,The headquarters,běnbù,pom.bu.,Hanja,名詞
172,본점,bonjeom,本店,Our store,běndiàn,pon.ʥʌm.,Hanja,名詞
173,붕대,bungdae,繃帶,bandage,bēngdài,puŋ.dɛ.,Hanja,名詞
174,본격적,bongyeokjeok,本格的,Exemplary,běngéde·,poŋ.ɡjʌk̚.ʨ͈ʌk̚.,Hanja,名詞
175,본래,bonrae,本來,"originally,primarily",běnlái,pol.lɛ.,Hanja,名詞
176,본루,bonru,本壘,home plate,běnlěi,pol.lu.,Hanja,名詞
177,본능,bonneung,本能,Instinct,běnnéng,pon.nɯŋ.,Hanja,名詞
178,본인,bonin,本人,Person in question,běnrén,pon.in.,Hanja,名詞
179,본사,bonsa,本社,Main office,běnshè,pon.sa.,Hanja,名詞
180,본위,bonwi,本位,standard,běnwèi,pon.ɥi.,Hanja,名詞
181,본선,bonseon,本線,main line,běnxiàn,pon.sʌn.,Hanja,名詞
182,본성,bonseong,本性,Original nature or character,běnxìng,pon.sʌŋ.,Hanja,名詞
183,본원,bonwon,本源,Origin,běnyuán,pon.u̯ʌn.,Hanja,名詞
184,본질,bonjil,本質,"True nature,essence",běnzhí,pon.ʥil.,Hanja,名詞
185,분주,bunju,奔走,run around,bēnzǒu,pun.ʥu.,Hanja,名詞
186,편안,pyeonan,便安,It's safe,biànān,pʰjʌn.an.,Hanja,名詞
187,변재,byeonjae,辯才,eloquence,biàncái,pjʌn.ʥɛ.,Hanja,名詞
188,변재,byeonjae,邊材,sapwood,biāncái,pjʌn.ʥɛ.,Hanja,名詞
189,변상,byeonsang,辯償,defense,biàncháng,pjʌn.saŋ.,Hanja,名詞
190,편성,pyeonseong,編成,compile,biānchéng,pʰjʌn.sʌŋ.,Hanja,名詞
191,변덕,byeondeok,變德,Become virtuous,biàndé,pjʌn.dʌk̚.,Hanja,名詞
192,변전소,byeonjeonso,變電所,substation,biàndiànsuǒ,pjʌn.ʥʌn.so.,Hanja,名詞
193,변조,byeonjo,變調,transpose,biàndiào,pjʌn.ʥo.,Hanja,名詞
194,변조기,byeonjogi,變調器,pitch changer,biàndiàoqì,pjʌn.ʥo.ɡi.,Hanja,名詞
195,변동,byeondong,變動,"Change, flucutation",biàndòng,pjʌn.doŋ.,Hanja,名詞
196,편법,pyeonbeop,便法,Convenient method,biànfǎ,pʰjʌm.bʌp̚.,Hanja,名詞
197,변발,byeonbal,辯髮,defend,biànfǎ,pjʌm.bal.,Hanja,名詞
198,변방,byeonbang,邊方,Bianfang,biānfāng,pjʌm.baŋ.,Hanja,名詞
199,변복,byeonbok,變服,Change clothes,biànfú,pjʌm.bok̚.,Hanja,名詞
200,변격,byeongyeok,變格,Declension,biàngé,pjʌŋ.ɡjʌk̚.,Hanja,名詞
201,변혁,byeonhyeok,變革,change,biàngé,pjʌn.hjʌk̚.,Hanja,名詞
202,변경,byeongyeong,變更,"Change, alteration",biàngēng,pjʌŋ.ɡjʌŋ.,Hanja,名詞
203,변고,byeongo,變故,Changes,biàngù,pjʌŋ.ɡo.,Hanja,名詞
204,변광성,byeongwangseong,變光星,light changing star,biànguāngxīng,pjʌŋ.ɡu̯aŋ.sʌŋ.,Hanja,名詞
205,변호,byeonho,辯護,defend,biànhù,pjʌn.ho.,Hanja,名詞
206,변화,byeonhwa,變化,"Change, transformation",biànhuà,pjʌn.hu̯a.,Hanja,名詞
207,변화 불측,byeonhwa bulcheuk,變化 不測,Change Unexpected,biànhuà búcè,pjʌn.hu̯a. pul.ʨʰɯk̚.,Hanja,名詞
208,변화 무상,byeonhwa musang,變化 無常,"change, impermanence",biànhuà wúcháng,pjʌn.hu̯a. mᵇu.sʰaŋ.,Hanja,名詞
209,변화 무궁,byeonhwa mugung,變化 無窮,infinite changes,biànhuà wúqióng,pjʌn.hu̯a. mᵇu.ɡuŋ.,Hanja,名詞
210,변환,byeonhwan,變換,transform,biànhuàn,pjʌn.hu̯an.,Hanja,名詞
211,변화구,byeonhwagu,變化球,changing ball,biànhuàqiú,pjʌn.hu̯a.ɡu.,Hanja,名詞
212,변호인,byeonhoin,辯護人,defender,biànhùrén,pjʌn.ho.in.,Hanja,名詞
213,변호사,byeonhosa,辯護士,Lawyer,biànhùshì,pjʌn.ho.sʰa.,Hanja,名詞
214,변제,byeonje,辨濟,Benji,biànjì,pjʌn.ʥe.,Hanja,名詞
215,편집,pyeonjip,編輯,Edit,biānjí,pʰjʌn.ʥip̚.,Hanja,名詞
216,변절,byeonjeol,變節,Betrayal,biànjié,pjʌn.ʥʌl.,Hanja,名詞
217,변절기,byeonjeolgi,變節期,period of rebellion,biànjiéqí,pjʌn.ʥʌl.k͈i.,Hanja,名詞
218,변경,byeongyeong,邊境,"Change, alteration",biānjìng,pjʌŋ.ɡjʌŋ.,Hanja,名詞
219,편람,pyeonram,便覽,Fact sheet,biànlǎn,pʰjʌl.lam.,Hanja,名詞
220,편리,pyeonri,便利,Convenience,biànlì,pʰjʌl.li.,Hanja,名詞
221,변리,byeonri,邊利,Benefit,biānlì,pjʌl.li.,Hanja,名詞
222,변리사,byeonrisa,辨理士,Justifier,biànlǐshì,pjʌl.li.sʰa.,Hanja,名詞
223,변란,byeonran,變亂,accident,biànluàn,pjʌl.lan.,Hanja,名詞
224,변론,byeonron,辯論,Debate,biànlùn,pjʌl.lon.,Hanja,名詞
225,변론가,byeonronga,辯論家,debater,biànlùnjiā,pjʌl.loŋ.ɡa.,Hanja,名詞
226,변모,byeonmo,變貌,Disfigure,biànmào,pjʌm.mo.,Hanja,名詞
227,변비,byeonbi,便祕,constipation,biànmì,pjʌm.bi.,Hanja,名詞
228,변명,byeonmyeong,辨明,"Explanation, vindication",biànmíng,pjʌm.mjʌŋ.,Hanja,名詞
229,변비증,byeonbijeung,便祕症,constipation,biànmìzhèng,pjʌm.bi.ʥɯŋ.,Hanja,名詞
230,변기,byeongi,便器,toilet,biànqì,pjʌŋ.ɡi.,Hanja,名詞
231,변천,byeoncheon,變遷,changes,biànqiān,pjʌn.ʨʰʌn.,Hanja,名詞
232,편곡,pyeongok,編曲,arrange,biānqū,pʰjʌŋ.ɡok̚.,Hanja,名詞
233,변용,byeonyong,變容,Transfiguration,biànróng,pjʌn.joŋ.,Hanja,名詞
234,편입,pyeonip,編入,Program,biānrù,pʰjʌn.ip̚.,Hanja,名詞
235,변색,byeonsaek,變色,Discoloration,biànsè,pjʌn.sɛk̚.,Hanja,名詞
236,변설,byeonseol,辯舌,Argument,biànshé,pjʌn.sʌl.,Hanja,名詞
237,변신,byeonsin,變身,"Disguise, transformation",biànshēn,pjʌn.ɕʰin.,Hanja,名詞
238,변사,byeonsa,變事,change,biànshì,pjʌn.sa.,Hanja,名詞
239,변사,byeonsa,辯士,debater,biànshì,pjʌn.sa.,Hanja,名詞
240,변시체,byeonsiche,變屍體,Turn into corpse,biànshītǐ,pjʌn.ɕʰi.ʨʰe.,Hanja,名詞
241,변수,byeonsu,變數,variables,biànshù,pjʌn.su.,Hanja,名詞
242,변사,byeonsa,變死,become dead,biànsǐ,pjʌn.sa.,Hanja,名詞
243,변사자,byeonsaja,變死者,become dead,biànsǐzhě,pjʌn.sa.ʥa.,Hanja,名詞
244,변속,byeonsok,變速,variable speed,biànsù,pjʌn.sok̚.,Hanja,名詞
245,변소,byeonso,便所,toilet,biànsuǒ,pjʌn.so.,Hanja,名詞
246,변태,byeontae,變態,Abnormal,biàntài,pjʌn.tʰɛ.,Hanja,名詞
247,변태 심리,byeontae simri,變態 心理,abnormal psychology,biàntài xīnlǐ,pjʌn.tʰɛ. ɕʰim.ni.,Hanja,名詞
248,변태적,byeontaejeok,變態的,perverted,biàntàide·,pjʌn.tʰɛ.ʥʌk̚.,Hanja,名詞
249,편도,pyeondo,扁桃,almonds,biǎntáo,pʰjʌn.do.,Hanja,名詞
250,편도선,pyeondoseon,扁桃腺,tonsils,biǎntáoxiàn,pʰjʌn.do.sʰʌn.,Hanja,名詞
251,변통,byeontong,便通,convenient,biàntōng,pjʌn.tʰoŋ.,Hanja,名詞
252,변통,byeontong,變通,Work around,biàntōng,pjʌn.tʰoŋ.,Hanja,名詞
253,변통성,byeontongseong,變通姓,alternative surname,biàntōngxìng,pjʌn.tʰoŋ.sʌŋ.,Hanja,名詞
254,변위,byeonwi,變位,Displacement,biànwèi,pjʌn.ɥi.,Hanja,名詞
255,변위기호,byeonwigiho,變位記號,displacement mark,biànwèijìhào,pjʌn.ɥi.ɡi.ɦo.,Hanja,名詞
256,변온 동물,byeonon dongmul,變溫動物,ectotherms,biànwēndòngwù,pjʌn.on. toŋ.mul.,Hanja,名詞
257,편물,pyeonmul,編物,weave things,biānwù,pʰjʌm.mul.,Hanja,名詞
258,변심,byeonsim,變心,Change of heart,biànxīn,pjʌn.ɕʰim.,Hanja,名詞
259,변형,byeonhyeong,變形,deformation,biànxíng,pjʌn.hjʌŋ.,Hanja,名詞
260,변성,byeonseong,變性,transgender,biànxìng,pjʌn.sʌŋ.,Hanja,名詞
261,변성명,byeonseongmyeong,變姓名,Change name,biànxìngmíng,pjʌn.sʌŋ.mjʌŋ.,Hanja,名詞
262,변압,byeonap,變壓,transformer,biànyā,pjʌn.ap̚.,Hanja,名詞
263,변압기,byeonapgi,變壓器,Transformer,biànyāqì,pjʌn.ap̚.k͈i.,Hanja,名詞
264,변이,byeoni,變移,shift,biànyí,pjʌn.i.,Hanja,名詞
265,편익,pyeonik,便益,Convenience,biànyì,pʰjʌn.ik̚.,Hanja,名詞
266,변이,byeoni,變異,mutation,biànyì,pjʌn.i.,Hanja,名詞
267,변음,byeoneum,變音,umlaut,biànyīn,pjʌn.ɯm.,Hanja,名詞
268,변조,byeonjo,變造,alter,biànzào,pjʌn.ʥo.,Hanja,名詞
269,변조화폐,byeonjohwapye,變造貨幣,alter currency,biànzàohuòbì,pjʌn.ʥo.ɦu̯a.pʰje.,Hanja,名詞
270,변칙,byeonchik,變則,changes,biànzé,pjʌn.ʨʰik̚.,Hanja,名詞
271,변증,byeonjeung,辨證,Differentiation,biànzhèng,pjʌn.ʥɯŋ.,Hanja,名詞
272,변증법,byeonjeungbeop,辨證法,dialectics,biànzhèngfǎ,pjʌn.ʥɯŋ.bʌp̚.,Hanja,名詞
273,변질,byeonjil,變質,spoil,biànzhí,pjʌn.ʥil.,Hanja,名詞
274,편지,pyeonji,便紙,Letter,biànzhǐ,pʰjʌn.ʥi.,Hanja,名詞
275,변질자,byeonjilja,變質者,pervert,biànzhízhě,pjʌn.ʥil.ʨ͈a.,Hanja,名詞
276,변종,byeonjong,變種,variant,biànzhǒng,pjʌn.ʥoŋ.,Hanja,名詞
277,변전,byeonjeon,變轉,change,biànzhuǎn,pjʌn.ʥʌn.,Hanja,名詞
278,변장,byeonjang,變裝,Cross-dressing,biànzhuāng,pjʌn.ʥaŋ.,Hanja,名詞
279,변장술,byeonjangsul,變裝術,cross-dressing,biànzhuāngshù,pjʌn.ʥaŋ.sul.,Hanja,名詞
280,변주,byeonju,變奏,variation,biànzòu,pjʌn.ʥu.,Hanja,名詞
281,변주곡,byeonjugok,變奏曲,Variations,biànzòuqū,pjʌn.ʥu.ɡok̚.,Hanja,名詞
282,표본,pyobon,標本,specimen,biāoběn,pʰjo.bon.,Hanja,名詞
