編號,韓文,羅馬拼音,中文,英文
60,먹다,meokda,吃,"Eat, chow down on"
61,자신,jasin,自己、自身,"one's own self, one's own body"
62,문화,munhwa,文化,culture
63,원,won,韓元（幣值單位）,"A unit of south korean money, KRW"
64,생각,saenggak,想法、念頭,Thought
65,어떻다,eotteota,如何、怎麼樣,"how,what.. do you think of"
66,명,myeong,名、位（人數計量）,Person counter
67,통하다,tonghada,通、穿過、透過,"Run, lead; flow; go through"
68,그러다,geureoda,那樣做、那麼說,"and so, and then, well"
69,그러다,geureoda,那樣做、那麼說,"and so, and then, well"
70,소리,sori,聲音、聲響,"A sound,noise"
71,다시,dasi,再、再次、重新,Again
72,다른,dareun,別的、其他、不同的,Different
73,이런,ireon,這樣的、這種,"Such, like this"
74,여자,yeoja,女人、女性,"woman,female"
75,개,gae,個（計量單位）,Unit or piece
76,정도,jeongdo,程度、左右,"grade,degree"
77,다,da,全、都、全部,"All, everything"
78,좀,jom,稍微、一點、請,A little
79,싶다,sipda,想、想要（~고 싶다）,"want,hope"
80,보이다,boida,看得見、顯現,"see,catch sight of"
81,가지다,gajida,拿、帶、擁有,To have or take or hold
82,함께,hamkke,一起、一同,"Together, with"
83,아이,ai,孩子、小孩,Child
84,지나다,jinada,經過、過去、流逝,"pass,elapse,go on"
85,많이,mani,多、很多、非常,A lot
86,시간,sigan,時間,Time
87,너,neo,你（非敬語）,You
88,인간,ingan,人類、人,"A person, a human being"
89,사실,sasil,事實、真相,"The truth, a fact"
90,나다,nada,出生、產生、長出,To be born
91,이렇다,ireota,這樣、如此,Like this
92,어머니,eomeoni,母親、媽媽,Mom
93,눈,nun,眼睛 / 雪,Eyes
94,뭐,mwo,什麼、什麼事,Huh? (2) something
95,점,jeom,點、分數、店鋪,Store
96,의하다,uihada,依據、由於、按照,"To be due to, owing to"
97,시대,sidae,時代,"An age,period"
98,다음,daeum,下一個、下次、然後,Next
99,이러하다,ireohada,如此、像這樣,"Be this way, be like follows"
100,누구,nugu,誰,Who
101,곳,got,地方、處所,Place
102,여러,yeoreo,許多、諸多、各種,"many,various"
103,안,an,裡面、內部,Inside
104,하나,hana,一、一個,One
105,세계,segye,世界,World
106,버리다,beorida,...掉了、...光了（輔助動詞 ~어 버리다）,"(following a verb) the verb's action is over, perhaps in a sad way"
107,위,wi,上面、上方、頂部,"The upper part, above"
108,운동,undong,運動、體育,"Motion, movement"
109,퍼센트,peosenteu,百分比、百分之...,Percent
110,학교,hakgyo,學校,School
111,자기,jagi,自己、自身,"Oneself, number one, numerouno, self"
112,가장,gajang,最、頂、極其,Most
113,대통령,daetongnyeong,總統,The president
114,가지,gaji,種、樣（種類計量）,One of the kind or a sort
115,시작하다,sijakhada,開始,"To start,begin"
116,바로,baro,正是、直接、馬上,"Right, correctly"
117,어느,eoneu,某個、哪一個,"Some, a certain"
118,그래서,geuraeseo,所以、因此,And so accordingly
119,무엇,mueot,什麼、事物,"That thing,whatever"
120,정부,jeongbu,政府,Government
121,모든,modeun,所有的、一切的,Every one
122,번,beon,次、回、號碼,"Number, how many times"
123,그거,geugeo,那個（口語）,That thing
124,돈,don,錢、金錢,Money
125,국가,gukga,國家,A state or a nation
126,그런데,geureonde,但是、不過、然而,But or however
127,날,nal,日子、天,Day
128,여기,yeogi,這裡（註：亦可指餘暇/業餘愛好）,A hobby
129,모두,modu,大家、所有人,Everybody
130,여성,yeoseong,女性,Female
131,친구,chingu,朋友,A friend
132,마음,maeum,心、心思、心情,Heart
133,후,hu,後、之後,After
134,놓다,nota,放、放置、放下,"Put, place"
135,관계,gwangye,關係、關聯,Connection or relation
136,아버지,abeoji,父親、爸爸,Father
137,남자,namja,男人、男子,Boy
138,어디,eodi,哪裡、何處,Where?
139,몸,mom,身體、肉體,"body,physique"
140,얼굴,eolgul,臉、面孔,Face
141,왜,wae,為什麼、何故,Why?
142,나타나다,natanada,出現、顯現,"Come out, appear"
143,지역,jiyeok,地區、區域,"An area, region"
144,다르다,dareuda,不同、不一樣,Be different
145,모습,moseup,模樣、面貌、身影,"shape,body"
146,물,mul,水,Water
147,만나다,mannada,見面、遇見,Meet
148,내다,naeda,拿出來、產出、出（錢/力）,produce something
149,보이다,boida,給...看、展示、出示,"show,let see"
150,쓰다,sseuda,寫,To write
151,이것,igeot,這個、這件事,This thing
152,없이,eopsi,沒有、毫無,Without
153,이번,ibeon,這次、這回,This time
154,길,gil,路、道路,Road
155,생활,saenghwal,生活,"lifestyle,livelihood"
156,쓰다,sseuda,服（藥）/ 苦 / 戴,Take (medicine)
157,뿐,ppun,只、僅、光是,"only,alone,merely"
158,사이,sai,之間、間隔、關係,space between 2 points; the relationship between 2 people
159,방법,bangbeop,方法、辦法,"Way, method"
160,새롭다,saeropda,新穎、嶄新,"To be new,novel"
161,내다,naeda,挺過去、堅持到底（~어 내다）,"to see through, to make it through sth"
162,앉다,anda,坐、坐下,To sit down
163,처음,cheoeum,最初、第一次、起初,First
164,손,son,手,The hand
165,몇,myeot,幾、若干,A few
166,그때,geuttae,那時、當時,Then or at that time
167,과정,gwajeong,過程、課程,Process or course
168,삶,sam,生活、人生、生命,Life
169,갖다,gatda,拿著、擁有（가지다縮略）,To hold
170,찾다,chatda,尋找、找尋、查找,"seek,look for"
171,특히,teukhi,特別、尤其,Especially
172,시,si,點、時（鐘點）,Time
173,이상,isang,以上、異常,"More than, above"
174,지금,jigeum,現在、如今,Now
175,나가다,nagada,出去、前往,To go out
176,이야기,iyagi,談話、故事、話,"Conversation, talk"
177,교육,gyoyuk,教育,Education
178,사다,sada,買、購買,"To buy, purchase"
179,경제,gyeongje,經濟,Economy
180,아직,ajik,還、尚且、仍然,Still
181,잡다,japda,抓、握、抓住,"seize,catch"
182,같이,gachi,一起、一同,Together
183,선생님,seonsaengnim,老師、先生（敬稱）,Teacher
184,예술,yesul,藝術,"Art, an art"
185,서다,seoda,站立、站、立,To stand
186,못,mot,不能、沒法（否定副詞）,Cannot
187,역사,yeoksa,歷史,History
188,읽다,ikda,讀、閱讀,To read
189,결과,gyeolgwa,結果,Result
190,내용,naeyong,內容,Contents
191,물론,mulron,當然、自然,Of course
192,책,chaek,書、書籍,A book
193,일어나다,ireonada,起床、站起、發生,"To rise, get up"
194,당신,dangsin,您、你（對等或尊稱/夫妻稱呼）,Formal you
195,시장,sijang,市場 / 市長,"market,fair"
196,넣다,neota,放進、放入,"Put in, set in"
197,중요하다,jungyohada,重要,"To be important,weighty"
198,무슨,museun,什麼、什麼樣的,"What, what kind of"
199,느끼다,neukkida,感覺、感受、體會,To feel
200,어렵다,eoryeopda,困難、難,"To be hard, difficult"
201,힘,him,力氣、力量,Power
202,너무,neomu,太、過分、非常,Too much
203,나라,nara,國家,A country
204,부르다,bureuda,叫、喊、唱、吃飽,To call
205,의미,uimi,意義、意思,"A meaning, a sense"
206,자리,jari,座位、位置、名額,"seat,spot"
207,밝히다,bakhida,照亮、表明、闡明,To light up
208,죽다,jukda,死、死亡,"die,pass away"
209,이미,imi,已經、早已,Already
210,쪽,jjok,邊、方向、面,"Way, direction"
211,정치,jeongchi,政治,Politics
212,국민,gungmin,國民、民眾,The people or a nationality
213,생명,saengmyeong,生命,Life
214,얘기,yaegi,談話、故事（이야기縮略）,Story
215,학생,haksaeng,學生,Student
216,연구,yeongu,研究,Research
217,엄마,eomma,媽媽,Mamma
218,이름,ireum,名字、姓名,Name
219,하나,hana,一、一個,One
220,내리다,naerida,下來、下車、降下,Descend
221,사건,sageon,事件、案件,"An event,incident"
222,및,mit,以及、及、和,As well as
223,쉽다,swipda,容易、簡單,To be easy
224,짓다,jitda,造、建、做（飯/微笑）,"To make, build ; to form a line (a group)"
225,이유,iyu,理由、原因,Reason
226,필요하다,piryohada,需要,To need
227,글,geul,文章、字、文字,"words, a verse"
228,생기다,saenggida,產生、長出、發生,"arise,occur,happen"
229,사용하다,sayonghada,使用,To use
230,남편,nampyeon,丈夫、老公,Husband
231,밖,bak,外面、外部,The outside
232,세상,sesang,世上、世界,"The world,society"
233,작다,jakda,小,Small
234,타다,tada,乘坐（車/船）/ 燃燒,Ride (bus)
235,대학,daehak,大學,University
236,작품,jakpum,作品,A work of art
237,상황,sanghwang,情況、狀況,State of things
238,가운데,gaunde,中間、當中,In the middle
239,보내다,bonaeda,寄、送、度過（時間）,Send
240,즉,jeuk,即、也就是說,"namely,that is to say"
241,상태,sangtae,狀態、情況,"condition,state"
242,이후,ihu,以後、之後,After that
243,당시,dangsi,當時、那時,At that time
244,문학,munhak,文學,Literature
245,더욱,deouk,更加、越發,More and more
246,아주,aju,非常、極其、很,Extremely
247,지방,jibang,地方、地區 / 脂肪,"A locality, district"
248,밤,bam,夜晚、晚上 / 栗子,Night
249,높다,nopda,高,High
250,최근,choegeun,最近、近來,Recently
251,채,chae,照舊、維持原狀（~ㄴ 채로）,"As it is, no change"
252,현실,hyeonsil,現實,"Actuality, reality"
253,환경,hwangyeong,環境,Environment
254,컴퓨터,keompyuteo,電腦、計算機,Computer
255,먼저,meonjeo,首先、先、先前,First
256,다니다,danida,往返、上學/上班,Go to and from a aplace
257,얼마나,eolmana,多麼、多少,"How many, how much"
258,자체,jache,自身、本身,one's own body
259,열다,yeolda,打開、開啟、舉行,Open
260,머리,meori,頭、頭髮、腦袋,Head
261,묻다,mutda,詢問、問 / 沾染 / 埋,to Ask
262,남다,namda,剩下、殘留,"Remain, be left over"
263,부분,bubun,部分,"part,portion"
264,기업,gieop,企業,An enterprise or business
265,변화,byeonhwa,變化,"Change, transformation"
266,아들,adeul,兒子,"son,baby"
267,아,a,啊（感嘆詞）,Oh dear
268,선거,seongeo,選舉,An election
269,관하다,gwanhada,關於、涉及（~에 관한）,Refer to or be about
270,분,bun,分、分鐘,Minutes
271,그냥,geunyang,就那樣、就這樣、只是,Just because or in that condition
272,나누다,nanuda,分開、分享、劃分,To divide
273,이용하다,iyonghada,利用、使用,"To use, make use of"
274,거의,geoui,幾乎、差不多,Almost or nearly
275,곧,got,馬上、立刻、即將,Soon
276,중심,jungsim,中心、核心,"The nucleus, the focus, the heart"
277,활동,hwaldong,活動,Activity
278,오늘,oneul,今天,Today
279,서로,seoro,互相、彼此,"mutually,one another"
280,관심,gwansim,關心、興趣、關注,Concern or interest
281,역시,yeoksi,果然、也是、也是如此,"As expected, likewise"
282,이거,igeo,這個（口語）,This thing
283,애,ae,孩子、小傢伙,"A baby, or a slightly derogative word for person"
284,광고,gwanggo,廣告,Advertisement
285,나다,nada,出現、產生、發生,"To come out, grow, spring up"
286,방,bang,房間、屋子,A room
287,정신,jeongsin,精神、心神,"mind,spirit"
288,이르다,ireuda,到達、達到 / 早,"To reach, arrive, get at"
289,이루다,iruda,實現、成就、形成,"Accomplish, complete"
290,아침,achim,早晨、早飯,Morning
291,웃다,utda,笑、微笑,"To laugh, smile"
292,현상,hyeonsang,現象 / 現狀,"The present situation, state"
293,기술,gisul,技術、技能,Art or technique or ability
294,전체,jeonche,全體、全部,"The whole, the entire section"
295,그래,geurae,是啊、好、行,So or yes or that's right
296,얻다,eotda,得到、獲得,"Get, obtain"
297,아름답다,areumdapda,美麗、優美,To be beautiful
298,끝,kkeut,結束、末尾、終點,The end
299,민족,minjok,民族,"race,nation,people"
300,간,gan,間、期間、彼此間,The interval between
301,조사,josa,調查 / 助詞,"investigation,inquiry"
302,듯,deut,好像、似乎（~듯하다）,To be like something
303,입,ip,嘴、嘴巴,Mouth
304,뭐,mwo,什麼、什麼事,Huh? (2) something
305,그대로,geudaero,照原樣、就那樣,Like that
306,영화,yeonghwa,電影,A movie
307,필요,piryo,需要、必要,"Need, requirement,necessity"
308,줄,jul,方法、會不會（~ㄹ 줄 알다）/ 繩子,"way,method"
309,하늘,haneul,天空,The sky
310,년대,nyeondae,年代,Year
311,과학,gwahak,科學,Science
312,자연,jayeon,自然、大自然,Nature
313,정말,jeongmal,真的、確實,Really
314,구조,gujo,結構、構造 / 救援,Construction or structure
315,결국,gyeolguk,終究、最終、結果,After all or in the end
316,밥,bap,飯、米飯、飯菜,"Rice, a meal"
317,입다,ipda,穿（衣服）、受（損害）,To wear
318,오히려,ohiryeo,反而、反倒,"Rather,preferably"
319,프로그램,peurogeuraem,節目、程式、計畫,Program
320,네,ne,是的、好,Yes
321,이루어지다,irueojida,實現、形成、構成,"Get accomplished, achieved"
322,남,nam,別人、他人,"Others, other people"
323,하루,haru,一天、一日,A day
324,그림,geurim,畫、圖畫,A picture
325,적,jeok,...的時候、經驗（~ㄴ 적）,"The time,the occasion,when"
326,터,teo,處境、打算、地基,"one's status, one's lot"
327,마시다,masida,喝、飲,To drink
328,치다,chida,打、擊、敲,"to attack, assault"
329,혼자,honja,獨自、一個人,Alone
330,나가다,nagada,前進、邁進、推進,"To advance, proceed, go forward"
331,이제,ije,現在、如今、此刻,Now
332,교수,gyosu,教授,Teaching or instruction
333,술,sul,酒,Alcohol
334,사랑,sarang,愛、愛情,Love
335,전화,jeonhwa,電話,Telephone
336,끝나다,kkeutnada,結束、完結,To draw to a close or to end
337,맞다,matda,正確、對、合適,"Be right, correct; to match, be fitting for"
338,아빠,appa,爸爸,Dad
339,걸리다,geolrida,掛著、花費（時間）、得病,To be hung up or suspended
340,지키다,jikida,遵守、守護、保持,"Protect, maintain"
341,한번,hanbeon,一次、一旦、試著,Once
342,커피,keopi,咖啡,Coffee
343,가슴,gaseum,胸膛、內心,Chest
344,길다,gilda,長、長久,To be long
345,바라보다,baraboda,凝望、注視、指望,"Look at, watch ; to look forward to, hope for"
346,알아보다,araboda,打聽、調查、認出,"To investigate, examine, search"
347,맛,mat,味道、風味,Flavor
348,대부분,daebubun,大部分、多半,Most
349,산업,saneop,產業、工業,Industry
350,매우,maeu,非常、很,Very
351,오르다,oreuda,上漲、攀登、升高,"Go up, climb, ascend"
352,음식,eumsik,食物、食品,Food
353,표정,pyojeong,表情、神情,"Facial expression, look"
354,꼭,kkok,一定、務必、正好,For sure
355,일부,ilbu,一部分、部分,"A part, a portion"
356,요즘,yojeum,最近、近來,"Recently, nowadays"
357,계획,gyehoek,計劃、打算,A plan or a project
358,느낌,neukkim,感覺、印象,"Touch, feel"
359,얼마,eolma,多少、若干,"How many, how much"
360,고개,gogae,頭、頸、山嶺,The nape of the neck
361,성격,seonggyeok,性格、性質,"Personality ; character, nature"
362,계속,gyesok,繼續、持續、不斷,Continuously
363,세기,segi,世紀,Century
364,세우다,seuda,樹立、建立、停（車）,"Stand up, erect"
365,아내,anae,妻子、老婆,Wife
366,가족,gajok,家人、家庭,Family
367,현재,hyeonjae,現在、目前,"The present time, now, at present"
368,세,se,三（冠形詞）,Three
369,발전,baljeon,發展、進步,Development
370,차,cha,車、車輛,"A vehicle, train/auto car"
371,놀다,nolda,玩、玩耍、遊玩,"Play, amuse oneself"
372,향하다,hyanghada,朝向、面向、前往,"To face, look out on"
373,관련,gwanryeon,關聯、相關,Relation or connection or reference
374,형태,hyeongtae,形態、形狀,"Form, shape"
375,각,gak,各、每個,Each or every
376,도시,dosi,城市、都市,City
377,작업,jageop,工作、作業,Work
378,분위기,bunwigi,氣氛、氛圍,"atmosphere,surroundings"
379,그러하다,geureohada,如此、是那樣,To be so or right
380,나이,nai,年齡、年紀,Age
381,우선,useon,首先、優先、姑且,"First of all, before everything"
382,믿다,mitda,相信、信任,Believe
383,바꾸다,bakkuda,更換、改變、換,"change,exchange"
384,낳다,nata,生、生育、導致,To give birth
385,바,ba,所...的事物、情況（~ㄴ 바）,"A thing, what"
386,정보,jeongbo,資訊、情報,"information,intelligence"
387,열리다,yeolrida,被打開、召開、結（果）,"Open, be opened, be unlocked"
388,좋아하다,joahada,喜歡、愛好,"To like, be fond of"
389,그리다,geurida,畫、描繪、思念,Picture or draw a picture
390,만큼,mankeum,像...一樣、那麼多、程度,Of that amount
391,배우다,baeuda,學習、學,To learn
392,시,si,詩、詩歌,"Poetry, lines of verse"
393,역할,yeokhal,角色、作用,"A part, a role"
394,옆,yeop,旁邊、側旁,Next to
395,행동,haengdong,行動、行為,"Action, behavior"
396,어,eo,啊、哎呀（感嘆詞）,"Oh, well, why"
397,국내,gungnae,國內,Inside the country
398,비하다,bihada,比、比起、相比（~에 비하다）,Compare to
399,기관,gigwan,機關、機構、引擎,An engine or a machine
400,입장,ipjang,立場、處境,"A position, situation"
401,만하다,manhada,值得、具備...價值（~ㄹ 만하다）,Be of the extent of
402,예,ye,例子、例如,Example
403,아래,arae,下面、下方,"The bottom, the lower part"
404,방식,bangsik,方式、形式,"A form, method, process"
405,영향,yeonghyang,影響,"Influence, consequences"
406,그럼,geureom,那麼、當然,Certainly or of course.
407,나서다,naseoda,站出來、出面、走向,"Come out, come forth"
408,흐르다,heureuda,流動、流淌、逝去,"Flow, stream"
409,저,jeo,那個...、嗯...（口頭停頓）,"Uh, well, ..."
410,깊다,gipda,深、深沉,Deep
411,배,bae,船、舟,A boat (boating)
412,내,nae,內、以內（~日內）,Inside
413,모양,moyang,形狀、模樣,"A shape, form"
414,산,san,山,A mountain
415,새,sae,新的（冠形詞）,New
416,하지만,hajiman,但是、可是,"But, nevertheless"
417,조건,jogeon,條件,"condition,stipulation"
418,문,mun,門,Door
419,꽃,kkot,花、花朵,Flower
420,단계,dangye,階段、步驟,"A step, phase"
421,올리다,olrida,提升、抬高、上傳,"Raise, lift up"
422,그동안,geudongan,這期間、這段時間,During that time
423,교사,gyosa,教師、老師,Instructor
424,갑자기,gapjagi,突然、忽然,Suddenly
425,넘다,neomda,超過、跨過、越過,Cross or go across
426,지니다,jinida,佩帶、攜帶、具有,"Carry with, hold, possess"
427,바람,baram,風 / 願望,Wind
428,잘하다,jalhada,做得好、擅長,To do well
429,마을,maeul,村莊、村落,Town
430,어리다,eorida,年幼、幼小,"To be very young, juvenile"
431,대표,daepyo,代表,Representative
432,가능성,ganeungseong,可能性,Possibility
433,방향,banghyang,方向,Direction
434,대회,daehoe,大會、比賽,A great meeting
435,목소리,moksori,聲音、嗓音,Voice
436,노래,norae,歌曲、歌,Song
437,바다,bada,大海、海洋,Sea
438,힘들다,himdeulda,吃力、辛苦、艱難,"To be hard, difficult"
439,공부,gongbu,學習、功課,Study
440,움직이다,umjigida,移動、活動、動搖,"To move, stir"
441,의원,uiwon,議員,A member
442,노력,noryeok,努力,Effort
443,전혀,jeonhyeo,完全、根本（接否定）,"entirely,utterly,completely"
444,언니,eonni,姐姐（女性稱呼）,Older sister
445,단체,danche,團體、群體,"A corps, a group"
446,분,bun,位（人稱尊稱）/ 分,One part
447,알려지다,alryeojida,出名、為人所知,To become known
448,가능하다,ganeunghada,可能、可行,To be possible
449,능력,neungryeok,能力、才幹,"Ability, capability, how much and how well"
450,주장하다,jujanghada,主張、堅持,"To assert,maintain"
451,자식,jasik,子女、孩子,one's children
452,불,bul,火、火光、燈,Fire
453,주민,jumin,居民,"inhabitants,dwellers"
454,모으다,moeuda,收集、聚集、積累,"gather,get together"
455,자료,jaryo,資料、材料,"materials,data"
456,존재,jonjae,存在,Existence
457,학년,hangnyeon,學年、年級,A school year
458,신문,sinmun,報紙,A newspaper
459,가지다,gajida,抱有（想法/感情）,Entertain or hold or have
460,이해하다,ihaehada,理解、懂得,To understand
461,제품,jepum,產品、製品,Manufactured goods
462,분야,bunya,領域、界,Field
463,선생,seonsaeng,先生、老師,Teacher
464,사업,saeop,事業、生意、業務,Business
465,행위,haengwi,行為、舉動,"An act, deed, behavior"
466,수준,sujun,水平、水準,Level
467,지난해,jinanhae,去年,Last year
468,표현,pyohyeon,表現、表達,"Verbal expression, representation, manifestation"
469,기분,gibun,心情、心境,Mood
470,대,dae,時代、代、年代,"Era, period"
471,젊다,jeomda,年輕,"To be young,youthful"
472,옷,ot,衣服,Clothes
473,기능,gineung,功能、機能,Function or functionality
474,순간,sungan,瞬間、剎那,"A moment,a second"
475,전쟁,jeonjaeng,戰爭,War
476,전,jeon,前、之前,Before
477,꿈,kkum,夢、夢想,A Dream
478,할머니,halmeoni,奶奶、外婆,Grandmother
479,회의,hoeui,會議,"A meeting, a conference"
480,방송,bangsong,廣播、播放、播送,Broadcast
481,이야기하다,iyagihada,談話、聊天、敘述,To talk
482,나무,namu,樹、木頭,Tree
483,자다,jada,睡覺,To sleep
484,연극,yeongeuk,話劇、戲劇,"drama,a play"
485,마찬가지,machangaji,一樣、同樣,The same
486,걷다,geotda,走、步行 / 捲起,To walk
487,노동,nodong,勞動、勞工,"Labor, work"
488,이때,ittae,這時、此時,"At this time, moment"
489,과거,gwageo,過去、往昔,The past
490,가치,gachi,價值,Price
491,시간,sigan,小時、時間（長度）,a Length of time (한시간 동안)
492,집단,jipdan,集體、集團,"A group, a collective body"
493,현대,hyeondae,現代,"The present age, times"
494,살펴보다,salpyeoboda,仔細觀察、察看,Watch closely
495,장관,janggwan,部長、長官,A government cabinet minister
496,차이,chai,差異、差別,"difference,disparity"
497,풀다,pulda,解開、解除、解決,"Untie, loosen ; to melt into"
498,시절,sijeol,時節、時期、年月,"season,time,occasion"
499,물건,mulgeon,物品、東西,A thing
500,직접,jikjeop,直接、親自,Directly
501,개인,gaein,個人、私人,Private or individual
502,근데,geunde,但是、不過（그런데縮略）,But or however
503,발,bal,腳、足,Foot
504,작가,jakga,作家、作者,"writer,author"
505,효과,hyogwa,效果、成效,"Effect, effectiveness"
506,불교,bulgyo,佛教,Buddhism
507,끌다,kkeulda,拉、拖、吸引,Pull
508,대로,daero,照樣、按照（~대로）/ 大路,"Like, according to"
509,빨리,ppalri,快、趕緊、迅速,Quickly
510,시작되다,sijakdoeda,開始（被動）,"To begin,start"
511,말다,malda,停止、別（~지 말다）,Cease
512,설명하다,seolmyeonghada,說明、解釋,To explain
513,우주,uju,宇宙,The universe
514,시기,sigi,時期、時機,"An opportunity,chance"
515,마치,machi,好似、猶如、宛如,"As though, as if"
516,살,sal,歲（年齡）,Years old
517,생산,saengsan,生產 / 生育,1) production 2)birth
518,바라다,barada,希望、祈願,"Wish, hope"
519,강하다,ganghada,強大、強烈,To be strong or powerful
520,경험,gyeongheom,經驗、經歷,Experience or undergo or suffer
521,음악,eumak,音樂,Music
522,최고,choego,最高、最好、最棒,The best
523,나타내다,natanaeda,表現、顯示、展現,"Show, display"
524,아프다,apeuda,痛、疼痛、生病,To hurt
525,적다,jeokda,少、稀少 / 記錄,"To be small, few in number"
526,비,bi,雨,Rain
527,고향,gohyang,故鄉、家鄉,Hometown
528,놀라다,nolrada,吃驚、驚訝,Be surprised
529,다양하다,dayanghada,多樣、豐富多彩,"To be various, diverse"
530,울다,ulda,哭、啼哭,"To cry, weep"
531,농민,nongmin,農民,A farmer
532,은행,eunhaeng,銀行 / 白果,A bank
533,지내다,jinaeda,過日子、度過、相處,"To pass, spend time"
534,결혼,gyeolhon,結婚,Marriage
535,법,beop,法、法律、規則,"A law, the law"
536,소설,soseol,小說,"A novel, fiction story"
537,예,ye,是、好的（敬語答應）,"Yes, certainly, right"
538,오후,ohu,下午,The afternoon
539,질서,jilseo,秩序,"Order, system"
540,담다,damda,盛、裝、裝載,Put in a bottle
541,모이다,moida,聚集、集合,"Meet, assemble"
542,시민,simin,市民,Residents of a city
543,회장,hoejang,會長、董事長,"Chariman, the president"
544,빠르다,ppareuda,快、迅速,"Be fast, quick"
545,스스로,seuseuro,自己、自發、親自,"On its own, of its own free will"
546,아기,agi,嬰兒、寶寶,"baby,infant"
547,아저씨,ajeossi,大叔、叔叔,"Sir, calling an unknown male"
548,옛날,yennal,從前、古代、過去,"Ancient times, antiquity"
549,이날,inal,這天、當天,"Today, this day"
550,제대로,jedaero,好好地、正當地、合適地,As properly is suitable
551,달,dal,月亮 / 月份,The moon
552,던지다,deonjida,投、扔、擲,To throw
553,참,cham,真、確實、真是,"really,truly"
554,공간,gonggan,空間,Space or room
555,이곳,igot,這裡、此處,"This place, here"
556,마지막,majimak,最後、最終,"Last, final"
557,벌이다,beorida,展開、舉辦、開展,(1) to plan to start a job/project (2) to play a table game
558,병원,byeongwon,醫院,Hospital
559,자세,jase,姿勢、態度,"Position, posture"
560,강조하다,gangjohada,強調,Place empasis upon
561,경찰,gyeongchal,警察,The police
562,맡다,matda,承擔、負責 / 聞（味道）,Take charge of
563,저녁,jeonyeok,傍晚、晚上、晚飯,Evening
564,한편,hanpyeon,另一方面、一面,"One side, one way"
565,그러면,geureomyeon,那麼、那樣的話,If so or if that is the case
566,기자,gija,記者,A journalist
567,넓다,neolda,寬、廣闊,Broad
568,시험,siheom,考試、測驗,A test
569,잠,jam,覺、睡眠,Sleep
570,주로,juro,主要,"principally,mainly"
571,훨씬,hwolssin,...得多、更加、遠遠,"By far, very much so"
572,면,myeon,面、側面 / 麵,Side
573,통일,tongil,統一,Unification
574,건강,geongang,健康,Health
575,가깝다,gakkapda,近、靠近、親近,Close
576,건물,geonmul,建築物、大樓,Building
577,시설,siseol,設施、設備,"establishment,institution"
578,외국,oeguk,外國,A foreign country
579,밑,mit,底下、下方,The bottom
580,어른,eoreun,大人、長輩,"A man, an adult"
581,주변,jubyeon,周圍、周邊,A circumference
582,대신,daesin,代替、代為,Instead of
583,원인,wonin,原因、成因,"A cause,a factor"
584,팔다,palda,賣、售賣,To sell
585,차례,charye,順序、次序、輪次,"(1) order,precedence (2) one time, one round"
586,군,gun,軍隊、軍隊 / 君,An army
