編號,韓文,羅馬拼音,中文,英文
5060,밝다,bakda,明亮、晴朗,To be bright
5061,밤중,bamjung,半夜、深夜,Midnight
5062,배드민턴,baedeuminteon,羽毛球,Badminton
5063,배부르다,baebureuda,飽、吃飽,To be full
5064,버튼,beoteun,按鈕、鍵,Button
5065,보수적,bosujeok,保守的,Conservative
5066,캐나다,kaenada,加拿大,Canada
5067,불확실하다,bulhwaksilhada,不確定、不明確,Be uncertain
5068,비만,biman,肥胖,"Fatness, corpulence"
5069,빗방울,bitbangul,雨滴、雨點,Raindrops
5070,사회자,sahoeja,主持人、司儀,"Host, MC, moderator"
5071,샤워,syawo,淋浴、沖澡,Shower
5072,서투르다,seotureuda,生疏、不熟練,"unskilled,clumsy"
5073,세탁기,setakgi,洗衣機,Washing machine
5074,손뼉,sonppyeok,手掌、手心,The flat of one’s hand
5075,손수,sonsu,親自、親手,"With one’s own hands, personally"
5076,송편,songpyeon,松片（韓式松針蒸糕）,Rice cake steemed over pine needles
5077,시들다,sideulda,枯萎、凋謝 / 衰退,"To wither,die,fade"
5078,시디,sidi,光碟、CD,C.D.
5079,신사,sinsa,紳士,A gentleman
5080,신혼부부,sinhonbubu,新婚夫婦,Newlyweds
5081,싱겁다,singgeopda,淡而無味、平淡,"Taste flat, have no flavor"
5082,쓸데없이,sseuldeeopsi,徒勞地、無謂地,To have no use
5083,야하다,yahada,妖豔、俗氣、露骨,"To be gaudy,garish"
5084,어쩌다가,eojjeodaga,偶爾、偶然、不知怎麼地,"By chance, accident ; sometimes"
5085,옛날이야기,yennariyagi,古老故事、傳說,An old story
5086,오븐,obeun,烤箱,Oven
5087,온종일,onjongil,整天、一整天,"All day long, the whole day"
5088,와인,wain,葡萄酒、紅酒,Wine
5089,왕비,wangbi,王妃、王后,Queen
5090,우승하다,useunghada,奪冠、獲得優勝,To take first place
5091,운반,unban,搬運、運輸,"conveyance,transport"
5092,웃어른,useoreun,長輩、長者,one’s elders
5093,인사말,insamal,問候語、致詞,Words of greeting
5094,자판기,japangi,自動販賣機,Vending machine
5095,장모님,jangmonim,岳母、丈母娘（敬稱）,A man’s mother in law
5096,저녁때,jeonyeokttae,傍晚時分、傍晚,Evening time
5097,저울,jeoul,秤、天平,A balance
5098,적어지다,jeogeojida,變少、減少,To become smaller
5099,지폐,jipye,紙鈔、紙幣,Paper money
5100,진실로,jinsilro,確實、由衷地,"Truly, honestly"
5101,촛불,chotbul,燭光、蠟燭火,Candle-light
5102,출퇴근,chultoegeun,上下班、通勤,Go to and come from the office
5103,치과,chigwa,牙科、牙醫診所,A dentist
5104,테스트,teseuteu,測試、測驗,Test
5105,통역,tongyeok,口譯、翻譯,Interpreting
5106,퇴근하다,toegeunhada,下班,To go home from work
5107,표시하다,pyosihada,表示、標記、顯示,"To make a sign, display"
5108,피로하다,pirohada,疲勞、疲倦,"To be fatigued, weary"
5109,하,ha,下、下等、下方,"Below, underneath"
5110,한데,hande,戶外、露天 / 一處,"The open air, outside, the exterior"
5111,혼잣말,honjanmal,自言自語,Talking to oneself
5112,화나다,hwanada,發火、生氣,Get angry
5113,효도하다,hyodohada,盡孝、孝敬父母,To be a good son/daughter to one’s parents
5114,힘없이,himeopsi,無精打采地、軟弱無力地,"feebly,weekly"
5115,가로,garo,橫向、寬度,Width or breadth
5116,갈아타다,garatada,轉乘、換乘,Transfer (bus or subway)
5117,건넌방,geonneonbang,對面廂房、對屋,The room opposite the main living room
5118,곧이어,godieo,隨即、緊接著,Soon hereafter
5119,공기,gonggi,公器、公共機構,"Public instrument, public institution"
5120,굉장하다,goengjanghada,宏偉、了不起、極好,Be grand or magnificent or splendor
5121,그래서,geuraeseo,因此、所以,So or therefore
5122,기업인,gieobin,企業家、企業人士,Businessman
5123,긴장되다,ginjangdoeda,感到緊張（被動）,Be under tension
5124,깨끗해지다,kkaekkeuthaejida,變乾淨,Become clean
5125,낚싯대,naksitdae,釣竿,A fishing rod
5126,남동생,namdongsaeng,弟弟,Younger brother
5127,냇물,naenmul,溪水、小溪,"A stream, brook"
5128,단골,dangol,熟客、老主顧,"Custom, connection"
5129,단맛,danmat,甜味,A sweet taste
5130,담요,damyo,毛毯,A blanket
5131,대,dae,莖、稈、柄,"A stem, stalk"
5132,더러워지다,deoreowojida,變髒,Get dirty
5133,데우다,deuda,加熱、熱（湯/菜）,"to warm, to heat up"
5134,도착,dochak,到達、抵達,Arrival
5135,동그랗다,donggeurata,圓圓的、滾圓,To be circular
5136,안동,andong,安東（韓國慶尚北道城市）,"간고등어 fish common in this city, ANDONG"
5137,무덥다,mudeopda,悶熱,"sultry,sweltering"
5138,뭘,mwol,什麼（무엇을略語）,What (implicit directobject)?
5139,반대편,bandaepyeon,反方向、對面,The opposite side
5140,발바닥,balbadak,腳底板、腳掌,The sole of the foot
5141,발톱,baltop,腳趾甲,A toenail
5142,밝아지다,balgajida,變亮、開朗起來,Become bright
5143,밤새다,bamsaeda,熬夜、通宵,To stay up all night
5144,부잣집,bujatjip,富貴人家、富戶,Rich man’s house
5145,분명해지다,bunmyeonghaejida,變得明確、清楚,To become clear
5146,사진기,sajingi,照相機,Camera
5147,산길,sangil,山路,"A mountain path,road"
5148,상추,sangchu,生菜、萵苣,Lettuce
5149,섭씨,seopssi,攝氏,Celsius
5150,소시지,sosiji,香腸、熱狗,Sausage
5151,쇼핑,syoping,購物,Shopping
5152,수업,sueop,修業、修畢課程,Completing an education course
5153,스케줄,seukejul,日程、行程表,Schedule
5154,스키,seuki,滑雪、滑雪板,Ski
5155,시외,sioe,市外、郊外,"Outside the city, suberbs"
5156,심각해지다,simgakhaejida,變得嚴重,To become serious
5157,싹,ssak,嫩芽、幼芽,"A bud,sprout"
5158,씻기다,ssitgida,被沖洗、洗刷（被動）,"To be carried away, washed away"
5159,안심하다,ansimhada,安心、放心,"security,assuredness,relief"
5160,약,yak,惱火、上火（약오르다）,"Get angry,take offense"
5161,약수,yaksu,礦泉水、藥水,"Medicinal water, mineral water"
5162,약품,yakpum,藥品、醫藥品,"Medicines, medical supplies"
5163,양배추,yangbaechu,高麗菜、捲心菜,Cabbage
5164,양보,yangbo,讓步、謙讓,"concession,compromise"
5165,양옆,yangyeop,兩側、兩旁,On both sides
5166,얕다,yatda,淺、膚淺,"To be shallow, superficial"
5167,어두워지다,eoduwojida,變暗、昏暗,become/get dark
5168,어쩜,eojjeom,怎麼會、說不定,"Well, I guess that, is extremely….."
5169,엊그제,eotgeuje,前幾天、剛過去不久,"The day before yesterday, a few days ago"
5170,여고생,yeogosaeng,女高中生,Female high school student
5171,여왕,yeowang,女王、王后,Queen
5172,연기되다,yeongidoeda,被推遲、延期（被動）,"To be put off, postponed"
5173,열,yeol,十（純韓文數詞）,Ten
5174,예약,yeyak,預訂、預約,"Pre-engagement, reservation"
5175,올라타다,olratada,坐上、登上（交通工具）,"Board (a plane), get into"
5176,운동화,undonghwa,運動鞋,Sports shoes
5177,이곳저곳,igotjeogot,這兒那兒、到處,Everywhere
5178,이다음,idaeum,下次、以後,Next
5179,일회용품,ilhoeyongpum,免洗用品、一次性用品,A product to be used only once
5180,읽히다,ikhida,使閱讀、使讀懂,"To get a person to read, to get a person to learn"
5181,잡수다,japsuda,吃、享用（敬語）,"eat,drink"
5182,장사꾼,jangsakkun,商人、生意人,"A trader,merchant,dealer"
5183,점심때,jeomsimttae,午餐時分,Lunchtime
5184,주일,juil,星期、週,A week
5185,즐거워하다,jeulgeowohada,歡樂、感到高興,To enjoy it
5186,집중하다,jipjunghada,集中、專心,To concentrate
5187,짜다,jjada,鹹、味道鹹,To be salty
5188,짜증스럽다,jjajeungseureopda,令人煩躁、討厭,To be annoying
5189,천재,cheonjae,天才,"genius,talent"
5190,초등학교,chodeunghakgyo,小學,Elementary school
5191,초보,chobo,初步、入門,"Initial, first steps"
5192,초여름,choyeoreum,初夏,Early summer
5193,초저녁,chojeonyeok,傍晚、剛入夜時分,Early in the evening
5194,충돌하다,chungdolhada,碰撞、衝突,"Collide, clash with"
5195,코트,koteu,球場 / 大衣,Court
5196,피곤,pigon,疲倦、疲勞,"fatigue,exhaustion"
5197,학비,hakbi,學費,Tuition
5198,해,hae,害處、損害、危害,"Damage, injury"
5199,해외여행,haeoeyeohaeng,海外旅行、出國旅遊,Foreign travel
5200,효자,hyoja,孝子,A dutiful son
5201,감소되다,gamsodoeda,被減少、縮減（被動）,To be reduced or diminished
5202,강변,gangbyeon,江邊、河畔,A riverside
5203,공연되다,gongyeondoeda,被上演、演出（被動）,To give a public performance
5204,공휴일,gonghyuil,國定假日、公休日,A legal holiday
5205,괴로워하다,goerowohada,感到痛苦、苦惱,To distress or trouble
5206,교시,gyosi,訓示、指示、指導,Teach or instruct or enlighten
5207,그리로,geuriro,朝那裡、往那邊,Over there
5208,까먹다,kkameokda,剝著吃 / 忘得一乾二淨,Crack or peel and eat
5209,깜빡,kkamppak,眨眼、閃爍 / 猛然忘記,With a flash or twinkle
5210,깡패,kkangpae,流氓、惡棍,Gangster
5211,꾸다,kkuda,做夢、夢見,Dream or have a dream
5212,낚시꾼,naksikkun,釣客、釣魚人,An angler
5213,다양해지다,dayanghaejida,變得多樣化,To be various
5214,대중교통,daejunggyotong,大眾運輸、大眾交通,Mass transportation
5215,데려오다,deryeooda,帶來、領來,Go with
5216,마요네즈,mayonejeu,美乃滋、蛋黃醬,Mayonnaise
5217,마흔,maheun,四十,Forty
5218,만세,manse,萬歲,"10,000 years"
5219,만화가,manhwaga,漫畫家,Cartoon artist
5220,맘대로,mamdaero,隨心所欲、隨便,As you want
5221,머리말,meorimal,前言、序言,A preface
5222,면접,myeonjeop,面試、面談,Interview
5223,명함,myeongham,名片,Name card
5224,몸속,momsok,體內、身體內部,In one’s body
5225,무책임하다,muchaegimhada,不負責任,Not responsible
5226,반짝거리다,banjjakgeorida,閃爍、閃閃發亮,Twinkle-twinkle (stars)
5227,밤새우다,bamsaeuda,熬夜、徹夜不眠,Sit up all night
5228,번지,beonji,門牌號碼、番地,Area of land
5229,볼펜,bolpen,原子筆,A ballpen
5230,빨간색,ppalgansaek,紅色,"deep-red,crimson"
5231,사립,sarip,私立,Private
5232,사생활,sasaenghwal,私生活,Private life
5233,사이사이,saisai,處處、時不時、縫隙間,Every now and then
5234,사자,saja,獅子,A lion
5235,새소리,saesori,鳥鳴聲,"Bird voice,”chirp”"
5236,생활수준,saenghwalsujun,生活水準,The standard of living
5237,서툴다,seotulda,生疏、拙劣,"poor,awkward"
5238,석사,seoksa,碩士,Master
5239,성당,seongdang,天主教堂、聖堂,A church
5240,속마음,songmaeum,內心想法、真心,"Inner heart,feeling"
5241,손잡다,sonjapda,牽手、攜手合作,Take a person by the hand
5242,숙녀,sungnyeo,淑女,A lady
5243,순하다,sunhada,溫和、溫順,"Be gentle,docile"
5244,시댁,sidaek,婆家,one’s husband’s family/house
5245,시부모,sibumo,公婆、公公婆婆,one’s husband’s parents
5246,신체적,sinchejeok,身體上的、肉體的,Physical
5247,실수하다,silsuhada,失誤、犯錯,To make a mistake
5248,쓴맛,sseunmat,苦味,A bitter flavor
5249,야옹,yaong,喵（貓叫聲）,"Mewing, meowing"
5250,얼마간,eolmagan,一段時間、多少,"Some, somewhat"
5251,올여름,oryeoreum,今年夏天,This summer
5252,외제,oeje,外國製、舶來品,Of foreign manufacture
5253,외출하다,oechulhada,外出、出門,To go out (of doors)
5254,욕하다,yokhada,謾罵、罵人,"To insult, to say bad words"
5255,위아래,wiarae,上下、長幼,Up and down
5256,음반,eumban,唱片、專輯唱片,A phonograph record
5257,의논,uinon,商量、商議,"consultation,conference"
5258,이,i,二（漢字詞）,Two
5259,이래서,iraeseo,因為這樣、正因如此,"This way, this direction, here"
5260,이발소,ibalso,理髮店,barber’s shop
5261,자살하다,jasalhada,自殺,Commit suicide
5262,자연적,jayeonjeok,自然的,Natural
5263,장례식,jangryesik,喪禮、告別式,A funeral
5264,재수,jaesu,運氣、幸運 / 重考,"luck,fortune"
5265,재작년,jaejangnyeon,前年,The year before last
5266,재채기,jaechaegi,打噴嚏,"sneeze,sneezing"
5267,전구,jeongu,燈泡,An electric bulb
5268,전문점,jeonmunjeom,專賣店,Exclusive store
5269,전통문화,jeontongmunhwa,傳統文化,Traditional culture
5270,정거장,jeonggeojang,車站、停靠站,A railroad station
5271,존댓말,jondaenmal,敬語、尊稱,Respectful speech
5272,주전자,jujeonja,茶壺、水壺,"A kettle, teakettle"
5273,지우다,jiuda,使背負、使承擔,Put a thing on a person’s back
5274,찬성,chanseong,贊成、贊同,"approval,assent"
5275,초보자,choboja,初學者、新手,"A beginner, neophyte"
5276,초청장,chocheongjang,邀請函、請帖,An invitation (card)
5277,촌스럽다,chonseureopda,土氣、俗氣,Unfashionable
5278,카레,kare,咖哩,Curry
5279,컨디션,keondisyeon,狀態、身心狀況,Condition
5280,코스모스,koseumoseu,大波斯菊,Cosmos
5281,킬로,kilro,公斤、公里,Kilo
5282,토론자,toronja,討論者、辯論者,"A debator, a disputant"
5283,튼튼히,teunteunhi,結實地、牢固地,"Strongly, firmly"
5284,티셔츠,tisyeocheu,T恤,T-shirts
5285,페인트,peinteu,油漆,Paint
5286,평상시,pyeongsangsi,平常、平時,Normally
5287,중국,jungguk,中國,China
5288,학교생활,hakgyosaenghwal,校園生活,Student
5289,한둘,handul,一兩個,One or two
5290,해물,haemul,海鮮、海產,Marine products
5291,형,hyeong,型態、模型 / 哥哥,"Shape, form"
5292,혼나다,honnada,挨訓、嚇破膽,"Get frightened, scared"
5293,가만,gaman,靜靜地、一聲不響,Quietly or softly
5294,감정적,gamjeongjeok,情感的、感情用事的,Emotional
5295,강북,gangbuk,江北（首爾漢江以北）,North of the river
5296,거리,geori,材料、題材,Materials
5297,고무신,gomusin,膠鞋,Rubber shoes
5298,고춧가루,gochutgaru,辣椒粉,Red pepper powder
5299,관람,gwanram,參觀、觀看、觀賞,Inspection or viewing
5300,교외,gyooe,校外 / 郊外,Outside the school or extramural
5301,교육비,gyoyukbi,教育費、學費雜費,Tuition or the cost of a school education
5302,국립,gukrip,國立,Government established
5303,금,geum,線條、界線、劃線,A line (draw)
5304,기억되다,gieokdoeda,被銘記、記憶（被動）,To be remembered
5305,까다,kkada,剝、削皮 / 孵化,Peel or husk
5306,꽃씨,kkotssi,花籽、花種,Flower seed
5307,꾸준하다,kkujunhada,持之以恆、孜孜不倦,Be steady or unflagging
5308,난방,nanbang,暖氣、取暖設備,A heated room
5309,내용물,naeyongmul,內容物,Contents
5310,녹화,nokhwa,綠化,Tree-planting
5311,농구,nonggu,籃球,Basketball
5312,달다,dalda,懸掛、掛上,To hang
5313,매번,maebeon,每次、每回,Every time
5314,먹다,meokda,失聰、耳聾（귀가 먹다）,Go deaf
5315,무관심하다,mugwansimhada,漠不關心、毫無興趣,Be indifferent to
5316,무사하다,musahada,平安無事,"Be safe, peaceful"
5317,밤낮,bamnat,日夜、總是,"Night and day, always"
5318,배구,baegu,排球,Volleyball
5319,번역하다,beonyeokhada,翻譯、筆譯,To translate
5320,병아리,byeongari,小雞,"Chick, baby chicken"
5321,부지런하다,bujireonhada,勤勞、勤奮,Be diligent
5322,부피,bupi,體積、容積,"bulk,size"
5323,비기다,bigida,打成平手、平局,"End in a tie, to be even-even. Same as 무승부를 기록하다"
5324,생활용품,saenghwaryongpum,生活用品,Necessities for daily life
5325,선풍기,seonpunggi,電風扇,A fan
5326,세로,sero,縱向、垂直,Length
5327,섹시하다,seksihada,性感,To be sexy
5328,소비하다,sobihada,消費、消耗,Consumption
5329,수리하다,surihada,修理、修繕,"repair,mending"
5330,스물,seumul,二十（純韓文數詞）,Twenty
5331,식료품,sikryopum,食品、副食品,Articles for food
5332,식히다,sikhida,使冷卻、放涼,"To cool, let cool. 차게 하다"
5333,싫어지다,sileojida,變得厭煩、不喜歡,To become distasteful
5334,씻기다,ssitgida,給...洗、洗滌,"wash,be washed"
5335,얼리다,eolrida,使凍結、冷凍,"Freeze, make ice"
5336,여직원,yeojigwon,女職員,Female employee
5337,열리다,yeolrida,結（果實）,To bear fruit
5338,옆방,yeopbang,隔壁房間,The room next door
5339,오피스텔,opiseutel,住商混合公寓,Office hotel (studio apt)
5340,올가을,olgaeul,今年秋天,This fall
5341,와이셔츠,waisyeocheu,正裝襯衫,A white dress shirt
5342,원피스,wonpiseu,洋裝、連身裙,(one-piece) a dress
5343,윗사람,witsaram,長輩、上司,"A superior, one’s older somebody"
5344,이민,imin,移民,Emigration
5345,이성,iseong,異性,The opposite sex
5346,이혼하다,ihonhada,離婚,To get divorced
5347,인제,inje,現在、如今,Now
5348,입사하다,ipsahada,入職、進公司,To join/enter a company
5349,재우다,jaeuda,哄睡、讓...睡覺,Put to sleep
5350,전시되다,jeonsidoeda,被展出、展覽（被動）,"To be exhibited,ddisplayed"
5351,졸리다,jolrida,想睡、犯睏,"Feel sleepy,drowsy"
5352,졸음,joreum,睡意、瞌睡,"sleepiness,drowsiness"
5353,종이컵,jongikeop,紙杯,A paper cup
5354,주문,jumun,咒語、符咒、咒文,"An incantation, a spell"
5355,지능,jineung,智力、智能,"intelligence,intellect, raw intelligence"
5356,쩔쩔매다,jjeoljjeolmaeda,團團轉、不知所措,"To be at a loss, be confused"
5357,철,cheol,懂事、明理（철이 들다）,"Discretion, prudence (Become sensible, wise)"
5358,청바지,cheongbaji,牛仔褲,Blue jeans
5359,추가되다,chugadoeda,被追加、添加（被動）,To be added
5360,치료법,chiryobeop,治療方法,A curative means
5361,치우다,chiuda,徹底搞定、收拾掉,"VST + Do away with, get rid of"
5362,코끼리,kokkiri,大象,An elephant
5363,콘서트,konseoteu,演唱會、音樂會,Concert
5364,큰소리,keunsori,大嗓門、大話,"A loud voice, loudly"
5365,큰아들,keunadeul,大兒子、長子,Oldest son
5366,특급,teukgeup,特級,In a special class
5367,평일,pyeongil,平日、工作日,A weekday
5368,풀어지다,pureojida,鬆開、解開 / 煮爛,To get loose; to turn soft (noodles)
5369,한겨울,hangyeoul,隆冬、嚴冬,"Midwinter, the dead of winter"
5370,한평생,hanpyeongsaeng,一輩子、終生,A lifetime
5371,해수욕장,haesuyokjang,海水浴場、海灘,A swimming beach
5372,핸드폰,haendeupon,手機,Cell phone
5373,허허,heoheo,呵呵（笑聲）,"Ha-ha, with a laugh"
5374,호실,hosil,房號、室號,Tells you the room number
5375,휴지통,hyujitong,垃圾桶、紙簍,Waste paper basket
5376,흐려지다,heuryeojida,變陰沉、模糊,"Get cloudy, overcast"
5377,희망하다,huimanghada,希望、期望,Hope
5378,힘들어하다,himdeureohada,感到吃力、感到辛苦,"To be exacting, tolling"
5379,강의하다,ganguihada,講課、授課,To give a lecture
5380,걱정되다,geokjeongdoeda,令人擔心、掛念（被動）,To become worried
5381,공연하다,gongyeonhada,表演、演出,Offer a performance
5382,귤,gyul,橘子、柑橘,A Jeju orange
5383,내과,naegwa,內科,Internal medicine
5384,넷째,netjjae,第四,Fourth
5385,목걸이,mokgeori,項鍊,Necklace
5386,무지개,mujigae,彩虹,A rainbow
5387,문법,munbeop,文法、語法,Grammar
5388,볶음,bokkeum,炒菜、炒物,Roasted sth
5389,볼링,bolring,保齡球,Bowling
5390,비둘기,bidulgi,鴿子,Pigeon
5391,생활비,saenghwalbi,生活費,Cost of living
5392,스키장,seukijang,滑雪場,Place to ski
5393,시대적,sidaejeok,時代性的、時代的,Of the times
5394,쓰다,sseuda,苦、苦澀,Bitter (vegetables)
5395,앞문,ammun,前門,The front gate
5396,인도,indo,人行道,"pavement,sidewalk"
5397,책방,chaekbang,書店,Reading room
5398,추가하다,chugahada,追加、添加,"To add sth, to supplement"
5399,칠판,chilpan,黑板,The blackboard
5400,크리스마스,keuriseumaseu,聖誕節,Christmas
5401,탁구,takgu,桌球、乒乓球,"ping-pong,table tennis"
5402,현대적,hyeondaejeok,現代的、現代風格的,Modern (adj)
5403,구,gu,九（漢字詞）,9
5404,나흘,naheul,四天,Four days
5405,늦가을,neutgaeul,晚秋、深秋,Late autumn
5406,다이어트,daieoteu,節食、減肥,Diet
5407,목요일,mogyoil,星期四、週四,Thursday
5408,못생기다,motsaenggida,醜陋、難看,Ugly
5409,영화관,yeonghwagwan,電影院、戲院,Movie theater
5410,예술적,yesuljeok,藝術的,Artistic
5411,장모,jangmo,岳母、丈母娘,A man’s mother in law
5412,중국집,junggukjip,中餐館、中華料理店,Chinese restaurant
5413,지우개,jiugae,橡皮擦,An eraser
5414,지하도,jihado,地下道,Underground road
5415,튀김,twigim,油炸物、炸物,Batter-fried food
5416,고궁,gogung,古宮、古代宮殿,An ancient palace
5417,고속버스,gosokbeoseu,高速巴士、長途客運,Bus for the freeway
5418,단추,danchu,鈕扣、扣子,A button
5419,대중적,daejungjeok,大眾的、通俗的,Of the masses
5420,미역,miyeok,海帶、海帶芽,Brown seaweed
5421,반말,banmal,平語、非敬語,Crude language
5422,분홍색,bunhongsaek,粉紅色,Pink color
5423,사,sa,四（漢字詞）,"four,the fourth"
5424,소포,sopo,包裹,"A parcel,package"
5425,손녀,sonnyeo,孫女、外孫女,Granddaughter
5426,수영장,suyeongjang,游泳池,Swimming pool
5427,아래층,araecheung,樓下,Lower floor
5428,일본어,ilboneo,日語、日文,Japanese
5429,작은아버지,jageunabeoji,叔父、三叔（父親的弟弟）,An uncle younger than your father
5430,잠옷,jamot,睡衣,Pajamas
5431,장갑,janggap,手套,A pair of gloves
5432,초순,chosun,上旬,The first third of a month
5433,퇴원하다,toewonhada,出院,To leave the hospital
5434,하순,hasun,下旬,The final third of the month
5435,갈비,galbi,排骨、肋骨,The ribs
5436,기혼,gihon,已婚,Married
5437,대장,daejang,隊長、首領 / 印鑑,"A seal, stamp"
5438,모레,more,後天,The day after tomorrow
5439,삼계탕,samgyetang,蔘雞湯,Chicken soup
5440,생신,saengsin,生日、生辰（長輩敬語）,A birthday
5441,서른,seoreun,三十（純韓文數詞）,Thirty
5442,시내버스,sinaebeoseu,市區公車,Inner-city bus
5443,아홉,ahop,九（純韓文數詞）,Nine
5444,예약하다,yeyakhada,預約、預訂,"To book in advance, pledge"
5445,우표,upyo,郵票,A postage stamp
5446,장미,jangmi,玫瑰,A rose
5447,천둥,cheondung,雷、雷聲,Thunder
5448,퇴원,toewon,出院,Leaving the hospital
5449,파란색,paransaek,藍色,Blue
5450,게으르다,geeureuda,懶惰、怠惰,Lazy
5451,기념품,ginyeompum,紀念品,A momento
5452,냉면,naengmyeon,冷麵,Cold noodles soup
5453,단풍,danpung,楓葉、紅葉,Fall foliage
5454,독일어,dogireo,德語、德文,German
5455,문학적,munhakjeok,文學的,Literary
5456,미끄럽다,mikkeureopda,滑、滑溜,To be slippery
5457,복숭아,boksunga,桃子,Peach
5458,비빔밥,bibimbap,拌飯、石鍋拌飯,Vegetarian dish of rice and vegetables
5459,여든,yeodeun,八十（純韓文數詞）,Eighty
5460,외아들,oeadeul,獨生子、獨子,The only son
5461,이따가,ittaga,待會兒、稍後,A little later
5462,일흔,ilheun,七十（純韓文數詞）,Seventy
5463,장인,jangin,岳父、丈人,"A man’s father in law, the wife\'s father"
5464,화요일,hwayoil,星期二、週二,Tuesday
5465,강아지,gangaji,小狗、幼犬,Puppy
5466,닷새,datsae,五天,Five days
5467,선물하다,seonmulhada,送禮、贈送,Give a gift
5468,아이스크림,aiseukeurim,冰淇淋,Ice cream
5469,외할아버지,oeharabeoji,外公、外祖父,A maternal grandfather
5470,요리하다,yorihada,料理、烹飪,To cook (food)
5471,입국,ipguk,入境,Entering a country
5472,주차,jucha,停車,Parking
5473,체육관,cheyukgwan,體育館、健身房,Gymnasium
5474,최소,choeso,最小、最低,"At the least, the minimum"
5475,칠,chil,七（漢字詞）,Seven
5476,칼국수,kalguksu,刀削麵、刀切麵,Knife-cut noodles
5477,큰아버지,keunabeoji,伯父、大伯（父親的哥哥）,Uncle older than one’s father
5478,홍차,hongcha,紅茶,"Tea, black tea"
5479,국민적,gungminjeok,國民的、全體國民的,National or for citizens
5480,국제선,gukjeseon,國際航線,International airline
5481,맛없다,maseopda,難吃、不好吃,Bad flavor
5482,백,baek,百、一百（漢字詞）,One hundred
5483,사십,sasip,四十（漢字詞）,40
5484,안과,angwa,眼科,Ophthalmology
5485,연락처,yeonrakcheo,聯絡方式、聯絡電話,a way to make contact (usually means a phone number)
