編號,韓文,羅馬拼音,中文,英文,Level (TOPIK等級),Part of Speech (詞性)
25,말하다,malhada,說話、說,Speak,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
26,위하다,wihada,為了、為,To do for the sake of,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
27,그러나,geureona,但是、然而,However or but still,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
28,오다,oda,來,To come,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
29,알다,alda,知道、認識,To know,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
30,씨,ssi,先生、女士、氏,~ Mr.,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
31,그렇다,geureota,是那樣、沒錯,That is right or yes.,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
32,크다,keuda,大、長大,"To be big, large",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
33,일,il,一日、一天,One day,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
34,사회,sahoe,社會,"culture,society",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
35,많다,manta,多、許多,"many, much",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
36,안,an,不、沒（否定副詞）,~ not ~ + VERB,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
37,좋다,jota,好、喜歡,To be good,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
38,더,deo,更、更加、再,More,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
39,받다,batda,收到、接受,Receive,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
40,그것,geugeot,那個、那件事,That thing,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
41,집,jip,家、房子,House,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
42,나오다,naoda,出來、出現,Come out,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
43,그리고,geurigo,還有、而且、然後,And or and then,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
44,문제,munje,問題,"question,problem",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
45,그런,geureon,那樣的,Such a,B,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
46,살다,salda,生活、居住,To live,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
47,저,jeo,那個（冠形詞）,That,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
48,못하다,mothada,不能、做不到、做不好,Be impossible,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
49,생각하다,saenggakhada,想、思考、認為,To think,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
50,모르다,moreuda,不知道、不認識,To not know,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
51,속,sok,裡面、內部、內心,The inside,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
52,만들다,mandeulda,製作、做、製造,To make,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
53,데,de,處所、地方、方面,"Place, point, instance",B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
54,앞,ap,前面、前方,"In front of, before",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
55,경우,gyeongu,情況、場合,A case or an instance,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
56,중,jung,中、之中、當中,"The center, the middle",B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
57,어떤,eotteon,什麼樣的、某個,"What kind of, what sort of",A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
58,잘,jal,好、擅長、仔細,Well,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
59,그녀,geunyeo,她,She,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
60,먹다,meokda,吃,"Eat, chow down on",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
61,자신,jasin,自己、自身,"one's own self, one's own body",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
62,문화,munhwa,文化,culture,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
63,원,won,韓元（幣值單位）,"A unit of south korean money, KRW",A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
64,생각,saenggak,想法、念頭,Thought,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
65,어떻다,eotteota,如何、怎麼樣,"how,what.. do you think of",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
66,명,myeong,名、位（人數計量）,Person counter,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
67,통하다,tonghada,通、穿過、透過,"Run, lead; flow; go through",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
68,그러다,geureoda,那樣做、那麼說,"and so, and then, well",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
69,그러다,geureoda,那樣做、那麼說,"and so, and then, well",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
70,소리,sori,聲音、聲響,"A sound,noise",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
71,다시,dasi,再、再次、重新,Again,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
72,다른,dareun,別的、其他、不同的,Different,A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
73,이런,ireon,這樣的、這種,"Such, like this",A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
74,여자,yeoja,女人、女性,"woman,female",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
75,개,gae,個（計量單位）,Unit or piece,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
76,정도,jeongdo,程度、左右,"grade,degree",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
77,다,da,全、都、全部,"All, everything",A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
78,좀,jom,稍微、一點、請,A little,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
79,싶다,sipda,想、想要（~고 싶다）,"want,hope",A,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
80,보이다,boida,看得見、顯現,"see,catch sight of",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
81,가지다,gajida,拿、帶、擁有,To have or take or hold,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
82,함께,hamkke,一起、一同,"Together, with",A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
83,아이,ai,孩子、小孩,Child,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
84,지나다,jinada,經過、過去、流逝,"pass,elapse,go on",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
85,많이,mani,多、很多、非常,A lot,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
86,시간,sigan,時間,Time,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
87,너,neo,你（非敬語）,You,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
88,인간,ingan,人類、人,"A person, a human being",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
89,사실,sasil,事實、真相,"The truth, a fact",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
90,나다,nada,出生、產生、長出,To be born,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
91,이렇다,ireota,這樣、如此,Like this,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
92,어머니,eomeoni,母親、媽媽,Mom,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
93,눈,nun,眼睛 / 雪,Eyes,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
94,뭐,mwo,什麼、什麼事,Huh? (2) something,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
95,점,jeom,點、分數、店鋪,Store,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
96,의하다,uihada,依據、由於、按照,"To be due to, owing to",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
97,시대,sidae,時代,"An age,period",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
98,다음,daeum,下一個、下次、然後,Next,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
99,이러하다,ireohada,如此、像這樣,"Be this way, be like follows",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
100,누구,nugu,誰,Who,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
101,곳,got,地方、處所,Place,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
102,여러,yeoreo,許多、諸多、各種,"many,various",A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
103,안,an,裡面、內部,Inside,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
104,하나,hana,一、一個,One,A,數詞 (Numeral / 수사)，如 하나（一）。：數詞 (Numeral / 수사)，如 하나（一）。
105,세계,segye,世界,World,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
106,버리다,beorida,...掉了、...光了（輔助動詞 ~어 버리다）,"(following a verb) the verb's action is over, perhaps in a sad way",A,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
107,위,wi,上面、上方、頂部,"The upper part, above",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
108,운동,undong,運動、體育,"Motion, movement",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
109,퍼센트,peosenteu,百分比、百分之...,Percent,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
110,학교,hakgyo,學校,School,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
111,자기,jagi,自己、自身,"Oneself, number one, numerouno, self",B,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
112,가장,gajang,最、頂、極其,Most,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
113,대통령,daetongnyeong,總統,The president,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
114,가지,gaji,種、樣（種類計量）,One of the kind or a sort,B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
115,시작하다,sijakhada,開始,"To start,begin",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
116,바로,baro,正是、直接、馬上,"Right, correctly",A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
117,어느,eoneu,某個、哪一個,"Some, a certain",A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
118,그래서,geuraeseo,所以、因此,And so accordingly,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
119,무엇,mueot,什麼、事物,"That thing,whatever",A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
120,정부,jeongbu,政府,Government,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
121,모든,modeun,所有的、一切的,Every one,A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
122,번,beon,次、回、號碼,"Number, how many times",A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
123,그거,geugeo,那個（口語）,That thing,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
124,돈,don,錢、金錢,Money,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
125,국가,gukga,國家,A state or a nation,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
126,그런데,geureonde,但是、不過、然而,But or however,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
127,날,nal,日子、天,Day,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
128,여기,yeogi,這裡（註：亦可指餘暇/業餘愛好）,A hobby,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
129,모두,modu,大家、所有人,Everybody,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
130,여성,yeoseong,女性,Female,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
131,친구,chingu,朋友,A friend,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
132,마음,maeum,心、心思、心情,Heart,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
133,후,hu,後、之後,After,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
134,놓다,nota,放、放置、放下,"Put, place",A,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
135,관계,gwangye,關係、關聯,Connection or relation,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
136,아버지,abeoji,父親、爸爸,Father,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
137,남자,namja,男人、男子,Boy,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
138,어디,eodi,哪裡、何處,Where?,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
139,몸,mom,身體、肉體,"body,physique",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
140,얼굴,eolgul,臉、面孔,Face,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
141,왜,wae,為什麼、何故,Why?,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
142,나타나다,natanada,出現、顯現,"Come out, appear",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
143,지역,jiyeok,地區、區域,"An area, region",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
144,다르다,dareuda,不同、不一樣,Be different,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
145,모습,moseup,模樣、面貌、身影,"shape,body",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
146,물,mul,水,Water,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
147,만나다,mannada,見面、遇見,Meet,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
148,내다,naeda,拿出來、產出、出（錢/力）,produce something,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
149,보이다,boida,給...看、展示、出示,"show,let see",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
150,쓰다,sseuda,寫,To write,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
151,이것,igeot,這個、這件事,This thing,A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
152,없이,eopsi,沒有、毫無,Without,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
153,이번,ibeon,這次、這回,This time,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
154,길,gil,路、道路,Road,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
155,생활,saenghwal,生活,"lifestyle,livelihood",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
156,쓰다,sseuda,服（藥）/ 苦 / 戴,Take (medicine),A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
157,뿐,ppun,只、僅、光是,"only,alone,merely",B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
158,사이,sai,之間、間隔、關係,space between 2 points; the relationship between 2 people,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
159,방법,bangbeop,方法、辦法,"Way, method",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
160,새롭다,saeropda,新穎、嶄新,"To be new,novel",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
161,내다,naeda,挺過去、堅持到底（~어 내다）,"to see through, to make it through sth",A,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
162,앉다,anda,坐、坐下,To sit down,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
163,처음,cheoeum,最初、第一次、起初,First,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
164,손,son,手,The hand,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
165,몇,myeot,幾、若干,A few,A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
166,그때,geuttae,那時、當時,Then or at that time,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
167,과정,gwajeong,過程、課程,Process or course,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
168,삶,sam,生活、人生、生命,Life,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
169,갖다,gatda,拿著、擁有（가지다縮略）,To hold,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
170,찾다,chatda,尋找、找尋、查找,"seek,look for",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
171,특히,teukhi,特別、尤其,Especially,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
172,시,si,點、時（鐘點）,Time,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
173,이상,isang,以上、異常,"More than, above",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
174,지금,jigeum,現在、如今,Now,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
175,나가다,nagada,出去、前往,To go out,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
176,이야기,iyagi,談話、故事、話,"Conversation, talk",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
177,교육,gyoyuk,教育,Education,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
178,사다,sada,買、購買,"To buy, purchase",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
179,경제,gyeongje,經濟,Economy,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
180,아직,ajik,還、尚且、仍然,Still,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
181,잡다,japda,抓、握、抓住,"seize,catch",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
182,같이,gachi,一起、一同,Together,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
183,선생님,seonsaengnim,老師、先生（敬稱）,Teacher,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
184,예술,yesul,藝術,"Art, an art",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
185,서다,seoda,站立、站、立,To stand,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
186,못,mot,不能、沒法（否定副詞）,Cannot,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
187,역사,yeoksa,歷史,History,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
188,읽다,ikda,讀、閱讀,To read,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
189,결과,gyeolgwa,結果,Result,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
190,내용,naeyong,內容,Contents,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
191,물론,mulron,當然、自然,Of course,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
192,책,chaek,書、書籍,A book,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
193,일어나다,ireonada,起床、站起、發生,"To rise, get up",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
194,당신,dangsin,您、你（對等或尊稱/夫妻稱呼）,Formal you,B,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
195,시장,sijang,市場 / 市長,"market,fair",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
196,넣다,neota,放進、放入,"Put in, set in",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
197,중요하다,jungyohada,重要,"To be important,weighty",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
198,무슨,museun,什麼、什麼樣的,"What, what kind of",A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
199,느끼다,neukkida,感覺、感受、體會,To feel,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
200,어렵다,eoryeopda,困難、難,"To be hard, difficult",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
201,힘,him,力氣、力量,Power,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
202,너무,neomu,太、過分、非常,Too much,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
203,나라,nara,國家,A country,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
204,부르다,bureuda,叫、喊、唱、吃飽,To call,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
205,의미,uimi,意義、意思,"A meaning, a sense",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
206,자리,jari,座位、位置、名額,"seat,spot",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
207,밝히다,bakhida,照亮、表明、闡明,To light up,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
208,죽다,jukda,死、死亡,"die,pass away",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
209,이미,imi,已經、早已,Already,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
210,쪽,jjok,邊、方向、面,"Way, direction",A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
211,정치,jeongchi,政治,Politics,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
212,국민,gungmin,國民、民眾,The people or a nationality,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
213,생명,saengmyeong,生命,Life,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
214,얘기,yaegi,談話、故事（이야기縮略）,Story,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
215,학생,haksaeng,學生,Student,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
216,연구,yeongu,研究,Research,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
217,엄마,eomma,媽媽,Mamma,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
218,이름,ireum,名字、姓名,Name,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
219,하나,hana,一、一個,One,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
220,내리다,naerida,下來、下車、降下,Descend,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
221,사건,sageon,事件、案件,"An event,incident",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
222,및,mit,以及、及、和,As well as,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
223,쉽다,swipda,容易、簡單,To be easy,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
224,짓다,jitda,造、建、做（飯/微笑）,"To make, build ; to form a line (a group)",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
225,이유,iyu,理由、原因,Reason,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
226,필요하다,piryohada,需要,To need,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
227,글,geul,文章、字、文字,"words, a verse",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
228,생기다,saenggida,產生、長出、發生,"arise,occur,happen",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
229,사용하다,sayonghada,使用,To use,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
230,남편,nampyeon,丈夫、老公,Husband,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
231,밖,bak,外面、外部,The outside,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
232,세상,sesang,世上、世界,"The world,society",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
233,작다,jakda,小,Small,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
234,타다,tada,乘坐（車/船）/ 燃燒,Ride (bus),A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
235,대학,daehak,大學,University,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
236,작품,jakpum,作品,A work of art,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
237,상황,sanghwang,情況、狀況,State of things,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
238,가운데,gaunde,中間、當中,In the middle,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
239,보내다,bonaeda,寄、送、度過（時間）,Send,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
240,즉,jeuk,即、也就是說,"namely,that is to say",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
241,상태,sangtae,狀態、情況,"condition,state",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
242,이후,ihu,以後、之後,After that,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
243,당시,dangsi,當時、那時,At that time,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
244,문학,munhak,文學,Literature,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
245,더욱,deouk,更加、越發,More and more,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
246,아주,aju,非常、極其、很,Extremely,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
247,지방,jibang,地方、地區 / 脂肪,"A locality, district",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
